method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Full Context,0.8492686623721105,0.9811827956989249,0.9811827956989249,0.9334951711394018,0.9075946259271298,0.8275862068965517,0.8275862068965517,0.8461538461538461,0.0,0.0,11.0,644.8533333333334,0.0921976171976172,1.0,0.05555555555555555,0.20996804520451218,0.08649944089957375,2.740788222161225,1.2333546999725513,1.0224358974358974,1.0,1.0
TeleMin-RAG,0.847845117845118,0.9545078577336642,0.9545078577336642,0.9299958733734464,0.9093493639941811,0.8181818181818182,0.8888888888888888,0.8181818181818182,0.8053394630061298,0.7856732766880546,2.097777777777778,135.01777777777775,0.0,0.0,0.04888888888888889,0.18644270992529757,0.07177865688274399,20.309247110918577,9.13916119991336,0.9204545454545455,2.0,4.0
Embedding Similarity Selection,0.8402360602360601,0.9710504549214227,0.9710504549214227,0.9365199335143005,0.9032995059148082,0.6923076923076923,0.8888888888888888,0.88,0.7234071484071484,0.7322369880974001,3.0,170.8422222222222,0.32740740740740737,0.9822222222222221,0.05555555555555555,0.22785097054029677,0.08546026892329284,15.060967555683519,6.777435400057584,0.9900000000000001,3.0,2.0
TF-IDF/BM25 Selection,0.7783794162826422,0.9805624483043838,0.9805624483043838,0.927112469926235,0.8587160153480653,0.6875,0.8387096774193549,0.6875,0.7234071484071484,0.7085216413524303,3.0,185.93555555555557,0.1977777777777778,0.5933333333333333,0.09555555555555556,0.24032953127799903,0.10449151666662548,2.228892444529467,1.0030016000382602,0.8197115384615384,4.0,5.0
Mutual Information Feature Selection,0.7639276241000378,0.944995864350703,0.944995864350703,0.890745904653525,0.8570440027223927,0.72,0.7586206896551724,0.72,0.7234071484071484,0.7262464616469705,3.0,173.58666666666667,0.0,0.0,0.08222222222222222,0.1955932480098206,0.08204865078986272,3.0311080001087656,1.3639986000489444,0.9490909090909091,5.0,3.0
Random-k Selection,0.5925877549440768,0.9139784946236559,0.9139784946236559,0.7526026050039185,0.7514057216670228,0.36363636363636365,0.75,0.4827586206896552,0.7234071484071484,0.7283879572437071,3.0,172.98444444444442,0.09037037037037038,0.2711111111111111,0.1466666666666667,0.18300751173240704,0.1119448688725625,1.6270013332056503,0.7321505999425426,0.6436781609195402,6.0,6.0
