dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,used_shap,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
HPC,Full Context,0.0,0.1,instruction,13,0.07440679997671396,0.992090666356186,0.72,0.6,0.5769230769230769,0.5882352941176471,0.6880570409982174,0.8178963893249608,0.8178963893249608,0.7050950547928704,0.16923227053643916,0.10963513406427312,0.28,9.0,675.0,0.0,0.0,1.0,75.0,359.52,26964.0,51.56,3867.0,9.0,675.0,0.0,0.0,1.0,75.0,359.52,26964.0,51.56,3867.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.1434134401424121,2.2999593056738377e-06,8.0,,,,,,,,,,,1.0,0.0
HPC,Full Context,0.1,0.1,instruction,13,0.14197120000608265,1.8929493334144354,0.7466666666666667,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.7120630430389978,0.8273155416012559,0.8273155416012559,0.7348721188231476,0.16511604133678456,0.11261622081161937,0.25333333333333335,10.0,750.0,1.0,75.0,1.0,75.0,399.85333333333335,29989.0,51.42666666666667,3857.0,10.0,750.0,1.0,75.0,1.0,75.0,399.85333333333335,29989.0,51.42666666666667,3857.0,0.1,0.1,1.0,1.0,0.0,0.0,0.12861382506919203,2.2999593056738377e-06,8.0,,,,,,,,,,,1.0408163265306123,-0.02400960384153661
HPC,Full Context,0.2,0.1,instruction,13,0.1289958999841474,1.7199453331219654,0.76,0.7,0.5384615384615384,0.6086956521739131,0.717809364548495,0.7904238618524333,0.7904238618524333,0.7085178823595158,0.1734439544922819,0.12075744271030074,0.24,11.0,825.0,2.0,150.0,1.0,75.0,437.18666666666667,32789.0,51.053333333333335,3829.0,11.0,825.0,2.0,150.0,1.0,75.0,437.18666666666667,32789.0,51.053333333333335,3829.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.11677696788557138,2.2999593056738377e-06,8.0,,,,,,,,,,,1.0347826086956522,-0.020460358056266004
HPC,Full Context,0.3,0.1,instruction,13,0.11719840002479032,1.5626453336638708,0.7066666666666667,0.5909090909090909,0.5,0.5416666666666666,0.6629901960784313,0.7990580847723705,0.7990580847723705,0.6877401916761451,0.17369319319373577,0.10676871244834982,0.29333333333333333,11.0,825.0,2.0,150.0,1.0,75.0,437.3066666666667,32798.0,51.13333333333333,3835.0,11.0,825.0,2.0,150.0,1.0,75.0,437.3066666666667,32798.0,51.13333333333333,3835.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.11692786145496677,2.2999593056738377e-06,8.0,,,,,,,,,,,0.9208333333333333,0.04656862745098045
HPC,Full Context,0.4,0.1,instruction,13,0.09692769998218864,1.2923693330958486,0.7866666666666666,0.8125,0.5,0.6190476190476191,0.7354497354497355,0.8014128728414442,0.8014128728414442,0.6967928009931453,0.17539690741581176,0.12223760597237168,0.21333333333333335,12.0,900.0,3.0,225.0,1.0,75.0,478.3333333333333,35875.0,50.68,3801.0,12.0,900.0,3.0,225.0,1.0,75.0,478.3333333333333,35875.0,50.68,3801.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.10595121951219512,2.2999593056738377e-06,8.0,,,,,,,,,,,1.0523809523809524,-0.03081232492997199
HPC,Full Context,0.5,0.1,instruction,13,0.12539850000757724,1.6719800001010299,0.72,0.6666666666666666,0.38461538461538464,0.4878048780487805,0.6475721637950325,0.7919937205651492,0.7919937205651492,0.6747844567973401,0.17836016145376657,0.09683606918469673,0.28,13.0,975.0,4.0,300.0,1.0,75.0,515.3733333333333,38653.0,51.50666666666667,3863.0,13.0,975.0,4.0,300.0,1.0,75.0,515.3733333333333,38653.0,51.50666666666667,3863.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.09994049620986728,2.2999593056738377e-06,8.0,,,,,,,,,,,0.8292682926829268,0.1004304160688666
HPC,Random-k Selection,0.0,0.1,instruction,13,0.04300340003101155,0.5733786670801541,0.72,0.6,0.5769230769230769,0.5882352941176471,0.6880570409982174,0.7849293563579277,0.7849293563579277,0.6155754889806964,0.18224171169302442,0.10092038896100479,0.28,3.0,225.0,0.0,0.0,0.4266666666666667,32.0,123.77333333333333,9283.0,22.346666666666668,1676.0,9.0,675.0,0.0,0.0,1.0,75.0,359.52,26964.0,51.56,3867.0,0.0,0.14222222222222222,0.4266666666666667,0.0,0.6666666666666667,0.6557261533897047,0.1805450824087041,8.00006091594696e-07,3.0,,,,,,,,,,,1.0,0.0
HPC,Random-k Selection,0.1,0.1,instruction,13,0.02537560003111139,0.33834133374815184,0.68,0.55,0.4230769230769231,0.4782608695652174,0.6237458193979933,0.7346938775510204,0.7346938775510204,0.5460151650475101,0.1989234856199956,0.08025622499345157,0.32,3.0,225.0,0.3466666666666667,26.0,0.28,21.0,123.0,9225.0,14.653333333333334,1099.0,10.0,750.0,1.0,75.0,1.0,75.0,399.85333333333335,29989.0,51.42666666666667,3857.0,0.11555555555555555,0.09333333333333334,0.28,0.3466666666666667,0.7,0.6923872086431692,0.11913279132791328,8.00006091594696e-07,3.0,,,,,,,,,,,0.8130434782608695,0.10997442455242967
HPC,Random-k Selection,0.2,0.1,instruction,13,0.02696250000735745,0.3595000000980993,0.72,0.631578947368421,0.46153846153846156,0.5333333333333333,0.6666666666666667,0.7409733124018838,0.7409733124018838,0.6673969690156686,0.18576563701933482,0.07667484226563845,0.28,3.0,225.0,0.56,42.0,0.30666666666666664,23.0,121.4,9105.0,15.64,1173.0,11.0,825.0,2.0,150.0,1.0,75.0,437.18666666666667,32789.0,51.053333333333335,3829.0,0.18666666666666668,0.10222222222222223,0.30666666666666664,0.28,0.7272727272727273,0.7223154106560127,0.12883031301482703,8.00006091594696e-07,3.0,,,,,,,,,,,0.9066666666666666,0.05490196078431375
HPC,Random-k Selection,0.3,0.1,instruction,13,0.025543800031300634,0.34058400041734177,0.68,0.5416666666666666,0.5,0.52,0.64,0.7621664050235479,0.7621664050235479,0.5811760978092604,0.18832797209623914,0.1088188368663577,0.32,3.0,225.0,0.5066666666666667,38.0,0.4,30.0,117.6,8820.0,20.48,1536.0,11.0,825.0,2.0,150.0,1.0,75.0,437.3066666666667,32798.0,51.13333333333333,3835.0,0.1688888888888889,0.13333333333333333,0.4,0.25333333333333335,0.7272727272727273,0.7310811634855784,0.17414965986394557,8.00006091594696e-07,3.0,,,,,,,,,,,0.884,0.06823529411764706
HPC,Random-k Selection,0.4,0.1,instruction,13,0.02583329996559769,0.3444439995413025,0.7066666666666667,0.5909090909090909,0.5,0.5416666666666666,0.6629901960784313,0.7833594976452121,0.7833594976452121,0.6876484696899655,0.1750913511492049,0.17194351885414896,0.29333333333333333,3.0,225.0,0.7066666666666667,53.0,0.26666666666666666,20.0,120.10666666666667,9008.0,13.333333333333334,1000.0,12.0,900.0,3.0,225.0,1.0,75.0,478.3333333333333,35875.0,50.68,3801.0,0.23555555555555555,0.08888888888888889,0.26666666666666666,0.23555555555555555,0.75,0.7489059233449478,0.11101243339253997,8.00006091594696e-07,3.0,,,,,,,,,,,0.9208333333333333,0.04656862745098045
HPC,Random-k Selection,0.5,0.1,instruction,13,0.026866699976380914,0.35822266635174554,0.7466666666666667,0.7058823529411765,0.46153846153846156,0.5581395348837209,0.6902847207128885,0.8210361067503925,0.8210361067503925,0.7239004173141937,0.16592524635060865,0.09414175408218209,0.25333333333333335,3.0,225.0,0.92,69.0,0.30666666666666664,23.0,119.08,8931.0,16.013333333333332,1201.0,13.0,975.0,4.0,300.0,1.0,75.0,515.3733333333333,38653.0,51.50666666666667,3863.0,0.30666666666666664,0.10222222222222223,0.30666666666666664,0.23,0.7692307692307692,0.7689441957933407,0.13447542268502968,8.00006091594696e-07,3.0,,,,,,,,,,,0.9488372093023255,0.030095759233926156
HPC,TF-IDF/BM25 Selection,0.0,0.1,instruction,13,0.055067699984647334,0.7342359997952977,0.6533333333333333,0.5,0.6923076923076923,0.5806451612903226,0.6425953079178885,0.7452904238618524,0.7452904238618524,0.5900300246137402,0.19860912433255912,0.1342881940111931,0.3466666666666667,3.0,225.0,0.0,0.0,0.0,0.0,119.45333333333333,8959.0,0.0,0.0,9.0,675.0,0.0,0.0,1.0,75.0,359.52,26964.0,51.56,3867.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6677421747515205,0.0,0.02639910002471879,3.0,,,,,,,,,,,1.0,0.0
HPC,TF-IDF/BM25 Selection,0.1,0.1,instruction,13,0.05806599999777973,0.7742133333037297,0.6266666666666667,0.4722222222222222,0.6538461538461539,0.5483870967741935,0.6151026392961876,0.7291993720565149,0.7291993720565149,0.5366680769322276,0.1994577718290767,0.15384689058464804,0.37333333333333335,3.0,225.0,0.4,30.0,0.0,0.0,121.24,9093.0,0.0,0.0,10.0,750.0,1.0,75.0,1.0,75.0,399.85333333333335,29989.0,51.42666666666667,3857.0,0.13333333333333333,0.0,0.0,0.4,0.7,0.696788822568275,0.0,0.02639910002471879,3.0,,,,,,,,,,,0.9444444444444443,0.032258064516129115
HPC,TF-IDF/BM25 Selection,0.2,0.1,instruction,13,0.06947200000286102,0.9262933333714803,0.6666666666666666,0.5161290322580645,0.6153846153846154,0.5614035087719298,0.6462931522354273,0.7146781789638932,0.7146781789638932,0.538986205711217,0.19757043794855933,0.09991138299082764,0.3333333333333333,3.0,225.0,0.7333333333333333,55.0,0.0,0.0,122.26666666666667,9170.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,437.18666666666667,32789.0,51.053333333333335,3829.0,0.24444444444444444,0.0,0.0,0.36666666666666664,0.7272727272727273,0.7203330385190155,0.0,0.02639910002471879,3.0,,,,,,,,,,,0.9668615984405456,0.019241652518392827
