method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Full Context,0.6516049945696551,0.8583921222810112,0.8583921222810112,0.7690067360365381,0.7529236470562974,0.6153846153846154,0.6153846153846154,0.7368421052631579,0.0,0.0,11.0,520.1155555555555,0.0921976171976172,1.0,0.20444444444444446,0.2410747222364159,0.18995630097892455,1.1093271112379928,0.4991972000570968,1.1973684210526314,1.0,1.0
TF-IDF/BM25 Selection,0.5818181818181819,0.7837301587301587,0.7837301587301587,0.5726531936115182,0.6698564593301435,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.7234071484071484,0.7428915782532864,3.0,131.78,0.0,0.0,0.30666666666666664,0.20255203605584252,0.1959414844273468,0.7879093334647931,0.35455920005915686,1.0,2.0,3.0
TeleMin-RAG,0.5501526668239684,0.7145061728395062,0.7145061728395062,0.5895454765692861,0.71614961718331,0.3870967741935484,0.6666666666666666,0.4827586206896552,0.8872693602693603,0.88582457459334,1.2377777777777776,59.24222222222222,0.0,0.0,0.18666666666666668,0.10199331328040843,0.1573667744782408,6.67486666675864,3.003690000041388,0.7241379310344829,3.0,5.0
Embedding Similarity Selection,0.547945205479452,0.7048059964726633,0.7048059964726633,0.48589378680946743,0.5596868884540117,0.547945205479452,0.547945205479452,0.547945205479452,0.7234071484071484,0.7388162099939123,3.0,133.84666666666666,0.3333333333333333,1.0,0.44,0.29181530492168756,0.24323202439629218,6.696698666653699,3.0135143999941647,1.0,4.0,3.0
Random-k Selection,0.5046129618236342,0.7017930629041741,0.7017930629041741,0.4647665795398699,0.6455459624973785,0.35555555555555557,0.6,0.631578947368421,0.7234071484071484,0.7234401400964988,3.0,141.81555555555556,0.09555555555555556,0.2866666666666667,0.2977777777777778,0.17358558769423382,0.20379648675519083,0.490925777832874,0.2209166000247933,1.0526315789473684,5.0,2.0
Mutual Information Feature Selection,0.4213779346949975,0.7355232216343327,0.7355232216343327,0.6019361129241717,0.6363724558407889,0.16666666666666666,0.5909090909090909,0.25,0.7234071484071484,0.722468326706973,3.0,142.36444444444444,0.0,0.0,0.2333333333333333,0.16007681419541095,0.1857157079909797,1.1219602220484781,0.5048820999218151,0.4230769230769231,6.0,6.0
