dataset,method,f1_mean,f1_std,f1_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,auroc_mean,auroc_std,auroc_ci95,auprc_mean,auprc_std,auprc_ci95,context_reduction_mean,context_reduction_std,context_reduction_ci95,token_reduction_mean,token_reduction_std,token_reduction_ci95,poison_event_selection_rate_mean,poison_event_selection_rate_std,poison_event_selection_rate_ci95,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_ci95,latency_per_context_ms_mean,latency_per_context_ms_std,latency_per_context_ms_ci95,rank_f1
UNSW_NB15,TeleMin-RAG,0.8400202839756592,0.13568166872524767,0.13296803535074272,0.7818798898869892,0.12688790725899182,0.12435014911381198,0.8287202380952381,0.11806776814249371,0.11570641277964384,0.8734271324835016,0.10881951341775589,0.10664312314940078,0.7535302861389818,0.0737413071762268,0.07226648103270226,0.7438626939085466,0.07754872159740708,0.07599774716545894,0.0,0.0,0.0,0.19565217391304346,0.1351794065665046,0.1324758184351745,38.04893586936448,8.447674844696335,8.278721347802408,1.0
UNSW_NB15,Embedding Similarity Selection,0.8381820486815416,0.13496487927812864,0.13226558169256605,0.7869131531923115,0.1268974168816862,0.12435946854405248,0.8602678571428571,0.07986160406039325,0.07826437197918538,0.9294746182502567,0.04822538317951423,0.04726087551592394,0.717948717948718,0.05921541222457692,0.05803110398008538,0.7451627019794311,0.055157774506196564,0.054054619016072634,1.0,0.0,0.0,0.19565217391304346,0.1351794065665046,0.1324758184351745,24.4971108698772,4.752706189809143,4.65765206601296,2.0
UNSW_NB15,Full Context,0.794453781512605,0.1408742931193582,0.13805680725697103,0.7255999066293184,0.13053710582123754,0.12792636370481278,0.8604166666666666,0.019690898442719235,0.019297080473864848,0.9303014881396268,0.014659882595735,0.0143666849438203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.14365382319999281,0.14078074673599295,3.2837445627513304,0.884545360738423,0.8668544535236545,3.0
UNSW_NB15,Random-k Selection,0.7882999353587589,0.1501055359071585,0.1471034251890153,0.7135944121238239,0.14647375199886856,0.1435442769588912,0.8470238095238094,0.051567456500363214,0.05053610737035595,0.9238513156484325,0.02069353879682765,0.020279668020891095,0.717948717948718,0.05921541222457692,0.05803110398008538,0.7172885567357823,0.05646713915219686,0.05533779636915292,0.24999999999999994,0.15217391304347824,0.14913043478260868,0.26086956521739124,0.1587601615957003,0.1555849583637863,1.7416456526995678,0.3817914000379434,0.3741555720371845,4.0
UNSW_NB15,TF-IDF/BM25 Selection,0.7007903991115897,0.3002909997020548,0.2942851797080137,0.7026064947018725,0.23260217473665398,0.2279501312419209,0.8098214285714287,0.18729643774868882,0.18355050899371503,0.9012205872841768,0.11088019173640606,0.10866258790167795,0.717948717948718,0.05921541222457692,0.05803110398008538,0.7265582260945328,0.052235143463047994,0.05119044059378703,0.4456521739130435,0.18910128044492594,0.18531925483602743,0.2826086956521739,0.23681354548359698,0.23207727457392505,3.7760315209870106,1.1035479662564809,1.0814770069313513,5.0
UNSW_NB15,Mutual Information Feature Selection,0.6870036344057073,0.2867619660451668,0.28102672672426343,0.6719035885394076,0.20477371388461613,0.2006782396069238,0.85625,0.04023474908600278,0.03943005410428273,0.9320963668254689,0.022751271824616774,0.022296246388124438,0.717948717948718,0.05921541222457692,0.05803110398008538,0.7065369835988838,0.06401392065997617,0.06273364224677665,0.0,0.0,0.0,0.3043478260869565,0.21593716559059914,0.21161842227878716,4.34972934612154,1.6296466342656557,1.5970537015803425,6.0
HPC,TeleMin-RAG,0.6455741626794258,0.08830430561171286,0.0865382194994786,0.6802479075505391,0.0942974222633634,0.09241147381809614,0.7469654528478058,0.08146491642839984,0.07983561809983185,0.5845880727459675,0.2161139156749038,0.21179163736140572,0.7344853214418432,0.12810886865746302,0.12554669128431376,0.7343033354386379,0.13367633101339915,0.13100280439313117,0.0,0.0,0.0,0.3152173913043478,0.09640677315688456,0.09447863769374687,13.662503261635404,8.53173794077883,8.361103181963253,7.0
UNSW_NB15,Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.6315536637275768,0.19349083130710976,0.18962101468096756,0.58726711694103,0.17625968368018285,0.1727344900065792,0.5335565476190476,0.1607880075990141,0.15757224744703383,0.7390066663542127,0.0915804887198037,0.08974887894540763,0.7535302861389818,0.0737413071762268,0.07226648103270226,0.7438626939085466,0.07754872159740708,0.07599774716545894,0.0,0.0,0.0,0.40217391304347816,0.18910128044492594,0.18531925483602743,1311.4196510856423,535.3752915104576,524.6677856802485,8.0
HPC,Random-k Selection,0.6183652948358831,0.06846529926214784,0.06709599327690488,0.7087315539711585,0.06979382195013982,0.06839794551113702,0.8295985060690944,0.11845019535998877,0.11608119145278899,0.7371938382967795,0.19334306035495397,0.18947619914785488,0.717948717948718,0.05921541222457692,0.05803110398008538,0.7253727009209795,0.051417613231980915,0.050389260967341296,0.25,0.11972979450621962,0.11733519861609523,0.26086956521739124,0.07938008079785017,0.07779247918189316,0.5925728258697074,0.28127413910119553,0.2756486563191716,9.0
BGL,Full Context,0.5813492063492063,0.1295013402546089,0.12691131344951673,0.730293934192928,0.06557747846452805,0.06426592889523748,0.8553921568627451,0.059087702618545,0.0579059485661741,0.679028749028749,0.08976216551481024,0.08796692220451403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1847826086956521,0.021739130434782594,0.021304347826086943,1.764308695387824,0.8517352067982377,0.8347005026622729,10.0
