dataset,method,noise_level,poison_rate,poison_strategy,seed,downstream_model,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,llm_model,llm_provider,llm_baseline,llm_batches,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,instruction,1,logistic,0.018377300002612174,0.7990130435918337,0.8260869565217391,0.625,0.8333333333333334,0.7142857142857143,0.7946428571428572,0.8431372549019608,0.8431372549019608,0.5866452991452992,0.18166087092469074,0.26286348021532263,0.17391304347826086,9.0,207.0,0.0,0.0,1.0,23.0,537.1304347826087,12354.0,49.78260869565217,1145.0,9.0,207.0,0.0,0.0,1.0,23.0,537.1304347826087,12354.0,49.78260869565217,1145.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.09268253197344989,1.300009898841381e-06,8.0,,,,,,,,,,,,,,1.0,0.0
BGL,Full Context,0.5,0.1,instruction,1,logistic,0.030053099966607988,1.3066565202873037,0.8260869565217391,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7745098039215685,0.9117647058823528,0.9117647058823528,0.8016233766233766,0.1662724385544778,0.24295506322011173,0.17391304347826086,13.0,299.0,4.0,92.0,1.0,23.0,778.4782608695652,17905.0,51.08695652173913,1175.0,13.0,299.0,4.0,92.0,1.0,23.0,778.4782608695652,17905.0,51.08695652173913,1175.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.0656241273387322,1.300009898841381e-06,8.0,,,,,,,,,,,,,,0.9333333333333332,0.04761904761904767
BGL,Random-k Selection,0.0,0.1,instruction,1,logistic,0.00967329996638,0.4205782594078261,0.6521739130434783,0.375,0.5,0.42857142857142855,0.5892857142857143,0.6862745098039216,0.6862745098039216,0.45067663817663817,0.2067527063542041,0.17922986440256075,0.34782608695652173,3.0,69.0,0.0,0.0,0.4782608695652174,11.0,174.3913043478261,4011.0,24.217391304347824,557.0,9.0,207.0,0.0,0.0,1.0,23.0,537.1304347826087,12354.0,49.78260869565217,1145.0,0.0,0.15942028985507245,0.4782608695652174,0.0,0.6666666666666667,0.6753278290432249,0.1388681126901022,1.600012183189392e-06,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.5,0.1,instruction,1,logistic,0.013066800078377128,0.568121742538136,0.6956521739130435,0.42857142857142855,0.5,0.46153846153846156,0.6247086247086246,0.7450980392156863,0.7450980392156863,0.6096052096052096,0.19584649272802038,0.2005423532133076,0.30434782608695654,3.0,69.0,0.782608695652174,18.0,0.21739130434782608,5.0,173.65217391304347,3994.0,11.26086956521739,259.0,13.0,299.0,4.0,92.0,1.0,23.0,778.4782608695652,17905.0,51.08695652173913,1175.0,0.2608695652173913,0.07246376811594203,0.21739130434782608,0.1956521739130435,0.7692307692307692,0.7769338173694499,0.06484727090635954,1.600012183189392e-06,3.0,,,,,,,,,,,,,,1.076923076923077,-0.032967032967033016
BGL,TF-IDF/BM25 Selection,0.0,0.1,instruction,1,logistic,0.018627500045113266,0.8098913063092724,0.8260869565217391,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7745098039215685,0.8823529411764706,0.8823529411764706,0.7089646464646464,0.17008450623725938,0.2171369938377309,0.17391304347826086,3.0,69.0,0.0,0.0,0.5217391304347826,12.0,174.47826086956522,4013.0,25.565217391304348,588.0,9.0,207.0,0.0,0.0,1.0,23.0,537.1304347826087,12354.0,49.78260869565217,1145.0,0.0,0.17391304347826086,0.5217391304347826,0.0,0.6666666666666667,0.6751659381576818,0.14652379765761275,0.01109409995842725,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.5,0.1,instruction,1,logistic,0.02990339999087155,1.3001478256900674,0.782608695652174,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.7526881720430108,0.8137254901960784,0.8137254901960784,0.7759259259259259,0.19570642343831826,0.29399626850616983,0.21739130434782608,3.0,69.0,0.9565217391304348,22.0,0.4782608695652174,11.0,187.0,4301.0,23.434782608695652,539.0,13.0,299.0,4.0,92.0,1.0,23.0,778.4782608695652,17905.0,51.08695652173913,1175.0,0.3188405797101449,0.15942028985507245,0.4782608695652174,0.2391304347826087,0.7692307692307692,0.7597877687796705,0.12531969309462915,0.01109409995842725,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,Mutual Information Feature Selection,0.0,0.1,instruction,1,logistic,0.024271099944598973,1.055265214982564,0.7391304347826086,0.5,0.6666666666666666,0.5714285714285714,0.6919642857142857,0.7450980392156863,0.7450980392156863,0.5276315789473683,0.1833252620393627,0.15852900783492024,0.2608695652173913,3.0,69.0,0.0,0.0,0.0,0.0,176.56521739130434,4061.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,537.1304347826087,12354.0,49.78260869565217,1145.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6712805569046463,0.0,2.957799999974668,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,Mutual Information Feature Selection,0.5,0.1,instruction,1,logistic,0.027943599969148636,1.214939129093419,0.6521739130434783,0.4,0.6666666666666666,0.5,0.6166666666666667,0.7647058823529411,0.7647058823529411,0.6585978835978835,0.19639009452182699,0.23185694632975995,0.34782608695652173,3.0,69.0,1.608695652173913,37.0,0.0,0.0,189.43478260869566,4357.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,778.4782608695652,17905.0,51.08695652173913,1175.0,0.5362318840579711,0.0,0.0,0.40217391304347827,0.7692307692307692,0.756660150795867,0.0,2.957799999974668,3.0,,,,,,,,,,,,,,0.875,0.0714285714285714
BGL,Embedding Similarity Selection,0.0,0.1,instruction,1,logistic,0.14659309992566705,6.3736130402463935,0.6521739130434783,0.4,0.6666666666666666,0.5,0.6166666666666667,0.8235294117647058,0.8235294117647058,0.7267547267547267,0.18728061512468344,0.2514603194129735,0.34782608695652173,3.0,69.0,0.0,0.0,1.0,23.0,166.65217391304347,3833.0,49.78260869565217,1145.0,9.0,207.0,0.0,0.0,1.0,23.0,537.1304347826087,12354.0,49.78260869565217,1145.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666667,0.6897361178565646,0.29872162796764934,0.13267159997485578,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,Embedding Similarity Selection,0.5,0.1,instruction,1,logistic,0.1734829000197351,7.542734783466743,0.6521739130434783,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.6349206349206349,0.7941176470588236,0.7941176470588236,0.7554093567251462,0.19914289007142252,0.23609908457475506,0.34782608695652173,3.0,69.0,0.5652173913043478,13.0,1.0,23.0,168.3913043478261,3873.0,51.08695652173913,1175.0,13.0,299.0,4.0,92.0,1.0,23.0,778.4782608695652,17905.0,51.08695652173913,1175.0,0.18840579710144928,0.3333333333333333,1.0,0.14130434782608695,0.7692307692307692,0.7836917062273108,0.30338239091143815,0.13267159997485578,3.0,,,,,,,,,,,,,,1.1111111111111112,-0.05555555555555558
