dataset,method,mean_f1,mean_auroc,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,robustness_retention,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_latency_per_context_ms,total_eval_seconds,rank_in_dataset
BGL,Embedding Similarity Selection,0.8210817311679381,0.9632444168734492,0.9291289936052634,0.8914788406123649,0.7142857142857143,0.8193103448275862,0.7840909090909092,0.9570133149678605,0.7234071484071484,0.7192227390119502,3.0,179.44555555555553,0.2840740740740741,0.8522222222222222,0.06277777777777778,6.019972166719122,10.83594990009442,1.0
BGL,Mutual Information Feature Selection,0.809927138079312,0.9214226633581472,0.8731500052915475,0.8847269783752939,0.6666666666666666,0.8066666666666666,0.7681159420289855,0.9522098454904779,0.7234071484071484,0.7313218375955071,3.0,170.82444444444445,0.00037037037037037035,0.0011111111111111111,0.06666666666666667,1.2423433333363694,2.236218000005465,2.0
BGL,TeleMin-RAG,0.8004270315442753,0.8773263027295286,0.8531500644758839,0.8783246508659662,0.6428571428571429,0.8129885057471264,0.8258333333333333,1.0157995192987417,0.7622338340671675,0.7550289543372165,2.578888888888889,156.26444444444442,0.21835221204162159,0.5644444444444444,0.07166666666666667,8.054723055684008,14.498501500231214,3.0
BGL,Full Context,0.7980074788211143,0.9658808933002482,0.9140755390148344,0.875511482860604,0.6875,0.7511574074074074,0.8511904761904762,1.1331719128329296,0.0,0.0,11.0,646.6066666666667,0.09219761719761721,1.0,0.07611111111111112,1.0009547778625145,1.801718600152526,4.0
BGL,TF-IDF/BM25 Selection,0.7850805208602368,0.9622105045492142,0.9080120180660906,0.8676625526555609,0.6875,0.7643817204301075,0.8219367588932806,1.075296199431336,0.7234071484071484,0.6987791432222107,3.0,192.8422222222222,0.1722222222222222,0.5166666666666667,0.08055555555555556,0.9233677221992468,1.662061899958644,5.0
BGL,Random-k Selection,0.6543089662479967,0.9011579818031431,0.7579540679896087,0.7905442049706535,0.5185185185185185,0.7037037037037037,0.6192592592592592,0.8799999999999999,0.7234071484071484,0.7245592801829565,3.0,175.53555555555553,0.09000000000000001,0.27,0.12055555555555557,0.5329582222556281,0.9593248000601307,6.0
UNSW_NB15,Embedding Similarity Selection,0.9353723516142112,0.9601056100217865,0.9777590417514538,0.9083600030381334,0.8314606741573034,0.9731549512417305,0.8498195167755077,0.8732622854059894,0.7234071484071484,0.7238587943067554,3.0,252.97000000000003,0.08166666666666668,0.24499999999999997,0.08333333333333333,9.00464794449767,16.208366300095804,1.0
UNSW_NB15,TeleMin-RAG,0.8764404878333462,0.9367079520697169,0.9716421634451061,0.8431135608352597,0.813953488372093,0.9273790536948432,0.827431289640592,0.892225553665417,0.8640175904342571,0.8598303468907079,1.4561111111111111,126.82611111111112,0.0,0.0,0.14944444444444444,8.600374277803995,15.480673700047191,2.0
UNSW_NB15,Full Context,0.8604439778128068,0.9746592047930283,0.9846716497787943,0.8350320555795601,0.6486486486486487,0.9711538461538461,0.6787547040711598,0.6989157348851547,0.0,0.0,11.0,930.6255555555557,0.09219761719761721,1.0,0.15888888888888889,1.3146876666966516,2.3664378000539728,3.0
UNSW_NB15,Random-k Selection,0.8598539512707316,0.9414575163398693,0.9643735681621145,0.821010097457319,0.7160493827160493,0.9591552864611117,0.7671156004489338,0.7997824870248849,0.7234071484071484,0.7243788563830348,3.0,252.82666666666668,0.10185185185185186,0.3055555555555556,0.16944444444444443,0.6501653333867176,1.1702976000960916,4.0
UNSW_NB15,Mutual Information Feature Selection,0.718856727164883,0.9632148148148149,0.9785650650033638,0.7190329992763184,0.3,0.9451159104418467,0.5402439024390244,0.571616556731605,0.7234071484071484,0.7149233310079491,3.0,261.3533333333333,0.0,0.0,0.2733333333333334,1.619742777774162,2.915536999993492,5.0
UNSW_NB15,TF-IDF/BM25 Selection,0.6993861112369251,0.9015251633986928,0.955241608875817,0.698185609337676,0.4126984126984127,0.9574676855440646,0.5001068376068376,0.5223224189782034,0.7234071484071484,0.7303584704213687,3.0,247.57111111111112,0.18092592592592593,0.5427777777777778,0.2988888888888889,1.1532864999349437,2.0759156998828985,6.0
