method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Embedding Similarity Selection,0.9188640973630832,0.8705357142857143,0.8705357142857143,0.9357131940771647,0.8736477349560514,0.896551724137931,0.9411764705882353,0.896551724137931,0.717948717948718,0.7449661449821926,3.0,227.3913043478261,0.3333333333333333,1.0,0.10869565217391304,0.21373912576848741,0.13474921357796302,24.26971739117542,1.1164069999940693,0.9525862068965517,1.0,3.0
TeleMin-RAG,0.9188640973630832,0.9241071428571428,0.9241071428571428,0.966274386357107,0.8736477349560514,0.896551724137931,0.9411764705882353,0.896551724137931,0.8106651802303977,0.8032663392778617,2.0652173913043477,179.97826086956522,0.0,0.0,0.10869565217391304,0.21728312009049566,0.1141370449286685,31.907713043240264,1.4677547999890521,0.9525862068965517,1.0,3.0
Full Context,0.8277310924369747,0.875,0.875,0.940596158335129,0.7610877684407096,0.7142857142857143,0.9411764705882353,0.7142857142857143,0.0,0.0,11.0,924.2608695652173,0.09401709401709402,1.0,0.21739130434782608,0.2742866764722731,0.1620120254096662,3.130326085501229,0.14399499993305653,0.7589285714285715,3.0,5.0
Random-k Selection,0.7782805429864253,0.8482142857142857,0.8482142857142857,0.9242983114451768,0.722473604826546,0.6153846153846154,0.9411764705882353,0.6153846153846154,0.717948717948718,0.7176725344337398,3.0,252.82608695652175,0.08695652173913043,0.2608695652173913,0.2608695652173913,0.2549381078180496,0.16715489417701665,1.9992108699744162,0.09196370001882315,0.6538461538461539,4.0,7.0
TF-IDF/BM25 Selection,0.7749360613810742,0.8571428571428571,0.8571428571428571,0.9389651131938536,0.7479752770673487,0.6086956521739131,0.9411764705882353,0.6086956521739131,0.717948717948718,0.726640943014693,3.0,244.6521739130435,0.15217391304347827,0.4565217391304348,0.2391304347826087,0.22014597825304505,0.17132282752927425,4.197017390928838,0.19306279998272657,0.6467391304347827,5.0,8.0
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.7622377622377623,0.6316964285714285,0.6361607142857143,0.801626797249,0.6984265734265734,0.6153846153846154,0.9090909090909091,0.6153846153846154,0.8106651802303977,0.8032663392778617,2.0652173913043477,179.97826086956522,0.0,0.0,0.2826086956521739,0.23630434782608697,0.2687282608695652,1056.1462565193601,48.58272779989056,0.676923076923077,6.0,6.0
Mutual Information Feature Selection,0.6284829721362228,0.875,0.875,0.9453249365014071,0.6522044490310743,0.3157894736842105,0.9411764705882353,0.3157894736842105,0.717948717948718,0.7064329335720163,3.0,261.6521739130435,0.0,0.0,0.32608695652173914,0.25909215805648517,0.20192216398927704,5.494634782814462,0.2527532000094652,0.3355263157894737,7.0,9.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.4192307692307692,0.4419642857142857,0.5580357142857142,0.6806159420289855,0.425,0.3,0.3,0.5384615384615384,0.0,0.0,11.0,924.2608695652173,0.09401709401709402,1.0,0.5652173913043479,0.5436956521739131,0.547041304347826,2052.6106608702557,94.42009040003177,1.794871794871795,8.0,1.0
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.3904761904761905,0.5334821428571429,0.5334821428571429,0.7358242753623189,0.44985347985347984,0.38095238095238093,0.38095238095238093,0.4,0.717948717948718,0.726640943014693,3.0,244.6521739130435,0.15217391304347827,0.4565217391304348,0.5434782608695652,0.5215217391304348,0.5263891304347826,1901.5936413045933,87.47330750001129,1.05,9.0,2.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.13043478260869565,0.16964285714285715,0.8303571428571428,0.5749490098084395,0.18812709030100333,0.0,0.0,0.2608695652173913,0.0,0.0,11.0,924.2608695652173,0.09401709401709402,1.0,0.8043478260869565,0.7130434782608694,0.6786260869565217,751.9764869585229,34.59091840009205,,10.0,
