method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Embedding Similarity Selection,0.9131427368728273,0.9492759909340079,0.9492759909340079,0.9360727872759083,0.9233040881954059,0.8181818181818182,0.9392857142857143,0.8640864086408642,0.7234071484071484,0.7289826879980543,3.0,208.88333333333335,0.24407407407407403,0.7322222222222221,0.05333333333333332,0.17353640969282055,0.08728943528576753,8.160003166703973,14.688005700067151,0.9199399027355208,1.0,4.0
Full Context,0.8845598787676808,0.9715277931850986,0.9715277931850986,0.9486977441092589,0.9047293174691114,0.6956521739130435,0.9094626168224299,0.8710936767417873,0.0,0.0,11.0,782.625,0.09219761719761721,1.0,0.06166666666666667,0.17504068368176695,0.08521454996917364,2.0519626665756934,3.693532799836248,0.9578114159164675,2.0,1.0
Mutual Information Feature Selection,0.8467873803681015,0.9272922866086054,0.9272922866086054,0.9224227620808941,0.8501293812734079,0.6027397260273972,0.8769151138716356,0.7628782937002114,0.7234071484071484,0.7208848661522963,3.0,216.08277777777778,0.00018518518518518518,0.0005555555555555556,0.11222222222222222,0.1542980728417851,0.10097660291312156,2.2266500557371827,4.007970100326929,0.8699568312057658,3.0,5.0
TF-IDF/BM25 Selection,0.8238280483705278,0.9175470307119262,0.9175470307119262,0.917497672231991,0.8490516155744916,0.6923076923076923,0.8849361603668413,0.7312701703744133,0.7234071484071484,0.7162025824506566,3.0,217.73444444444442,0.16666666666666666,0.5,0.11444444444444445,0.17154660440122807,0.11123283663684506,1.9525973332929425,3.5146751999272965,0.8263535869878712,4.0,6.0
TeleMin-RAG,0.8235983239747052,0.9108774805110905,0.9108774805110905,0.9188105633512196,0.8069759557782014,0.782608695652174,0.843180084598849,0.7992463568607501,0.8500136838470173,0.8386044542836709,1.6155555555555556,119.1416666666667,0.0,0.0,0.1411111111111111,0.1322673181761566,0.10183209939640143,9.939717111087196,17.891490799956955,0.9478952022935874,5.0,2.0
Random-k Selection,0.6943475752517818,0.9102464004984402,0.9102464004984402,0.8516082555082635,0.682615864616222,0.375,0.7289876134686759,0.6833333333333333,0.7234071484071484,0.724545959850167,3.0,212.46444444444444,0.09592592592592593,0.2877777777777778,0.17166666666666663,0.13881051455051907,0.12054908452425987,1.4407317222018416,2.593317099963315,0.9373730372206053,6.0,3.0
