method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
without bootstrap robustness,0.884842066146414,0.9625723738626965,0.9625723738626965,0.9346280191061397,0.9311188544476857,0.8461538461538461,0.88,0.8695652173913043,0.7938122248122248,0.7717234098234419,2.2288888888888887,144.28,0.0,0.0,0.03777777777777778,0.20152435180656794,0.07500446758897757,7.640084444364118,3.4380379999638535,0.9881422924901185,1.0,3.0
Full TeleMin-RAG,0.847845117845118,0.9545078577336642,0.9545078577336642,0.9299958733734464,0.9093493639941811,0.8181818181818182,0.8888888888888888,0.8181818181818182,0.8053394630061298,0.7856732766880546,2.097777777777778,135.01777777777775,0.0,0.0,0.04888888888888889,0.18644270992529757,0.07177865688274399,7.612358222379245,3.4255612000706606,0.9204545454545455,2.0,5.0
adaptive-k TeleMin,0.847845117845118,0.9545078577336642,0.9545078577336642,0.9299958733734464,0.9093493639941811,0.8181818181818182,0.8888888888888888,0.8181818181818182,0.8053394630061298,0.7856732766880546,2.097777777777778,135.01777777777775,0.0,0.0,0.04888888888888889,0.18644270992529757,0.07177865688274399,7.5132466665106925,3.380960999929812,0.9204545454545455,2.0,5.0
without redundancy penalty,0.8282608695652173,0.9567824648469809,0.9567824648469809,0.914164920639779,0.8975587562424262,0.8,0.8,0.8333333333333334,0.7960035396702064,0.774808936701583,2.204444444444444,142.3288888888889,0.0,0.0,0.05555555555555556,0.18999298685599864,0.0756380326459357,7.525894889064753,3.3866527000791393,1.0416666666666667,4.0,1.0
without semantic similarity,0.8243028576361909,0.9410669975186104,0.9410669975186104,0.9070109709643782,0.8948472176087408,0.8,0.8148148148148148,0.8181818181818182,0.807665285331952,0.7880628638228601,2.071111111111111,133.30444444444447,0.0,0.0,0.05777777777777778,0.1966771833379917,0.07870691882200696,7.473558222150637,3.3631011999677867,1.0041322314049588,5.0,2.0
without poisoning penalty,0.8230273752012883,0.9414805624483046,0.9414805624483046,0.9140095957337714,0.8942426554227558,0.782608695652174,0.8888888888888888,0.782608695652174,0.7437912457912458,0.7386256715334919,2.7688888888888887,165.26666666666665,0.26171596183299634,0.7244444444444444,0.05777777777777778,0.20596088522837155,0.08410929667400176,7.893095999930261,3.5518931999686174,0.8804347826086958,6.0,8.0
without rarity,0.8214604236343367,0.9435483870967741,0.9435483870967741,0.9013945684152244,0.8934913586093032,0.782608695652174,0.8,0.782608695652174,0.8150511957178623,0.8042090304487637,1.9844444444444445,122.69333333333334,0.0,0.0,0.05777777777777778,0.188856712406083,0.07702628990690155,7.530140444481124,3.388563200016506,0.9782608695652174,7.0,4.0
fixed-k TeleMin,0.7986277008016138,0.9623655913978495,0.9623655913978495,0.8972012121519318,0.8785144248354365,0.6923076923076923,0.8571428571428571,0.782608695652174,0.7234071484071484,0.7283802341447146,3.0,172.53111111111107,0.0,0.0,0.06888888888888889,0.17902606699968374,0.07954770641715002,6.393944666617447,2.877275099977851,0.9130434782608696,8.0,7.0
