dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,used_shap,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,llm_model,llm_provider,llm_baseline,llm_batches,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,instruction,13,0.025694600015413016,0.676173684616132,0.9736842105263158,1.0,0.8333333333333334,0.9090909090909091,0.9468531468531469,0.9739583333333334,0.9739583333333334,0.9242424242424242,0.08240784454999277,0.2310073894595126,0.02631578947368421,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0993363749481543,1.9000144675374031e-06,8.0,,,,,,,,,,,,,,,1.0,0.0
BGL,Full Context,0.5,0.1,instruction,13,0.03980019997106865,1.047373683449175,0.9473684210526315,1.0,0.6666666666666666,0.8,0.8848484848484849,0.9427083333333334,0.9427083333333334,0.892156862745098,0.09656010736132385,0.2473004430612845,0.05263157894736842,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.06713543691035652,1.9000144675374031e-06,8.0,,,,,,,,,,,,,,,0.8800000000000001,0.10909090909090902
BGL,Random-k Selection,0.0,0.1,instruction,13,0.014408899995032698,0.37918157881664993,0.9736842105263158,1.0,0.8333333333333334,0.9090909090909091,0.9468531468531469,0.9947916666666666,0.9947916666666666,0.976190476190476,0.0806090477174145,0.2450551951844211,0.02631578947368421,3.0,114.0,0.0,0.0,0.4473684210526316,17.0,169.26315789473685,6432.0,22.289473684210527,847.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.14912280701754385,0.4473684210526316,0.0,0.6666666666666667,0.6665284114475322,0.13168532338308458,1.400010660290718e-06,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.5,0.1,instruction,13,0.01787109998986125,0.47029210499634866,0.9210526315789473,0.8,0.6666666666666666,0.7272727272727273,0.8405594405594405,0.9479166666666667,0.9479166666666667,0.8722222222222222,0.09833363473782711,0.22165041400540691,0.07894736842105263,3.0,114.0,1.0526315789473684,40.0,0.02631578947368421,1.0,176.31578947368422,6700.0,1.2894736842105263,49.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.3508771929824561,0.008771929824561403,0.02631578947368421,0.2631578947368421,0.7692307692307692,0.7632592487897955,0.007313432835820896,1.400010660290718e-06,3.0,,,,,,,,,,,,,,,0.8,0.18181818181818177
BGL,TF-IDF/BM25 Selection,0.0,0.1,instruction,13,0.03179880004609004,0.8368105275286851,0.9473684210526315,1.0,0.6666666666666666,0.8,0.8848484848484849,1.0,1.0,1.0,0.08614562711798504,0.2784605562654531,0.05263157894736842,3.0,114.0,0.0,0.0,0.6578947368421053,25.0,173.71052631578948,6601.0,32.23684210526316,1225.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.21929824561403508,0.6578947368421053,0.0,0.6666666666666667,0.6577664869348818,0.1855779427359491,0.018380099965725094,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.5,0.1,instruction,13,0.036252700025215745,0.9540184217162038,0.868421052631579,0.6,0.5,0.5454545454545454,0.7342657342657343,0.9322916666666666,0.9322916666666666,0.7694805194805194,0.1288093229066604,0.26812335289820916,0.13157894736842105,3.0,114.0,1.2105263157894737,46.0,0.6578947368421053,25.0,196.97368421052633,7485.0,32.23684210526316,1225.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.40350877192982454,0.21929824561403508,0.6578947368421053,0.3026315789473684,0.7692307692307692,0.7355217130136744,0.16366065464261856,0.018380099965725094,3.0,,,,,,,,,,,,,,,0.6818181818181818,0.25454545454545463
BGL,Mutual Information Feature Selection,0.0,0.1,instruction,13,0.033017000008840114,0.8688684212852662,0.9210526315789473,1.0,0.5,0.6666666666666666,0.8109452736318408,0.9895833333333334,0.9895833333333334,0.9583333333333333,0.0788709195981195,0.22052071297260348,0.07894736842105263,3.0,114.0,0.0,0.0,0.02631578947368421,1.0,171.78947368421052,6528.0,1.2894736842105263,49.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.008771929824561403,0.02631578947368421,0.0,0.6666666666666667,0.6615512235586893,0.007506127450980392,4.042349900002591,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,Mutual Information Feature Selection,0.5,0.1,instruction,13,0.04294830001890659,1.1302184215501736,0.8947368421052632,1.0,0.3333333333333333,0.5,0.7205882352941176,0.859375,0.859375,0.7262922262922262,0.09640955714172321,0.12474183811689231,0.10526315789473684,3.0,114.0,1.131578947368421,43.0,0.0,0.0,158.5,6023.0,0.0,0.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.37719298245614036,0.0,0.0,0.28289473684210525,0.7692307692307692,0.7871806649941698,0.0,4.042349900002591,3.0,,,,,,,,,,,,,,,0.75,0.16666666666666663
BGL,Embedding Similarity Selection,0.0,0.1,instruction,13,0.23083100002259016,6.074500000594478,0.9736842105263158,1.0,0.8333333333333334,0.9090909090909091,0.9468531468531469,0.8333333333333334,0.8333333333333334,0.8596491228070176,0.0925345164581871,0.23804583623688533,0.02631578947368421,3.0,114.0,0.0,0.0,1.0,38.0,164.57894736842104,6254.0,50.421052631578945,1916.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666667,0.6757569473247615,0.30636392708666454,0.21553200000198558,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,Embedding Similarity Selection,0.5,0.1,instruction,13,0.23532979999436066,6.192889473535807,0.9736842105263158,1.0,0.8333333333333334,0.9090909090909091,0.9468531468531469,0.84375,0.84375,0.8611111111111112,0.11111945430941683,0.2669274546875431,0.02631578947368421,3.0,114.0,0.9736842105263158,37.0,1.0,38.0,171.6315789473684,6522.0,50.0,1900.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.32456140350877194,0.3333333333333333,1.0,0.24342105263157895,0.7692307692307692,0.7695487791950815,0.2913216804661147,0.21553200000198558,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,SHAP-based Selection,0.0,0.1,instruction,13,0.0468921999563463,1.2340052620091133,0.9473684210526315,1.0,0.6666666666666666,0.8,0.8848484848484849,0.8333333333333334,0.8333333333333334,0.8596491228070176,0.09525063487879375,0.22343130318284374,0.05263157894736842,3.0,114.0,0.0,0.0,0.10526315789473684,4.0,166.68421052631578,6334.0,5.157894736842105,196.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.03508771929824561,0.10526315789473684,0.0,0.6666666666666667,0.6716092907507258,0.030944111146195136,0.9342058000038378,3.0,True,,,,,,,,,,,,,,1.0,0.0
