method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Full Context,0.6904761904761905,0.8774509803921569,0.8774509803921569,0.6941343378843379,0.7845763305322129,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,11.0,657.804347826087,0.09401709401709402,1.0,0.17391304347826086,0.25290927171771715,0.17396665473958428,1.0528347819395687,0.04843039996922016,0.9333333333333332,1.0,7.0
TF-IDF/BM25 Selection,0.6666666666666666,0.8480392156862745,0.8480392156862745,0.7424452861952862,0.7635989879822896,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.717948717948718,0.7174768534686762,3.0,180.73913043478262,0.16666666666666666,0.5,0.19565217391304346,0.2555666311719504,0.18289546483778882,1.05501956599967,0.048530900035984814,1.0,2.0,5.0
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.6274509803921569,0.7254901960784313,0.7254901960784313,0.5652997364953887,0.7130580819647102,0.5882352941176471,0.6666666666666666,0.5882352941176471,0.6187290969899666,0.6310950030960898,4.0,231.76086956521738,0.0,0.0,0.2608695652173913,0.24956521739130438,0.23503478260869562,430.2743934803521,19.792622100096196,0.8823529411764707,3.0,8.0
TeleMin-RAG,0.6190476190476191,0.7205882352941175,0.7205882352941175,0.5807304720133667,0.7332370448179271,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6187290969899666,0.6310950030960898,4.0,231.76086956521738,0.0,0.0,0.21739130434782608,0.18354324873807631,0.18146167264606847,10.953765218247376,0.5038732000393793,0.8571428571428571,4.0,10.0
Mutual Information Feature Selection,0.5357142857142857,0.7549019607843137,0.7549019607843137,0.5931147312726259,0.6543154761904761,0.5,0.5714285714285714,0.5,0.717948717948718,0.7139703538502566,3.0,183.0,0.0,0.0,0.30434782608695654,0.1951929770823401,0.18985767828059485,1.1351021720379917,0.05221469991374761,0.875,5.0,9.0
Embedding Similarity Selection,0.5277777777777778,0.8088235294117647,0.8088235294117647,0.7410820417399364,0.6257936507936508,0.5,0.5,0.5555555555555556,0.717948717948718,0.7367139120419377,3.0,167.52173913043478,0.3333333333333333,1.0,0.34782608695652173,0.24377970199386428,0.19321175259805298,6.958173911856568,0.32007599994540215,1.1111111111111112,6.0,1.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.4807692307692308,0.35049019607843135,0.6495098039215687,0.23091620854778752,0.429020979020979,0.46153846153846156,0.46153846153846156,0.5,0.0,0.0,11.0,657.804347826087,0.09401709401709402,1.0,0.5652173913043479,0.5458695652173913,0.5262282608695652,1103.574893477818,50.76444509997964,1.0833333333333333,7.0,2.0
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.48,0.4828431372549019,0.5367647058823529,0.2671279797344039,0.43047619047619046,0.48,0.48,0.48,0.717948717948718,0.7174768534686762,3.0,180.73913043478262,0.16666666666666666,0.5,0.5652173913043478,0.5339130434782609,0.5150347826086956,965.2494608687804,44.4014751999639,1.0,8.0,5.0
Random-k Selection,0.44505494505494503,0.7156862745098039,0.7156862745098039,0.5301409238909238,0.6069971694971694,0.42857142857142855,0.42857142857142855,0.46153846153846156,0.717948717948718,0.7261308232063374,3.0,174.02173913043478,0.11594202898550723,0.34782608695652173,0.32608695652173914,0.18988610880793416,0.20129959954111223,0.49435000097298104,0.022740100044757128,1.076923076923077,9.0,3.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.301994301994302,0.1642156862745098,0.8357843137254901,0.20090425957845867,0.175997150997151,0.2962962962962963,0.2962962962962963,0.3076923076923077,0.0,0.0,11.0,657.804347826087,0.09401709401709402,1.0,0.8043478260869565,0.7413043478260869,0.7138260869565217,802.5096021744463,36.91544170002453,1.0384615384615385,10.0,4.0
