method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
without bootstrap robustness,0.9003165672117195,0.9610566448801744,0.9610566448801744,0.982705665216837,0.8670322644220549,0.8571428571428571,0.9494949494949495,0.8571428571428571,0.8520701027367695,0.8465678014996457,1.593333333333333,138.7488888888889,0.0,0.0,0.12444444444444443,0.17779004381663552,0.10301946862152707,9.21382088886781,4.146219399990514,0.9027355623100304,1.0,1.0
without rarity,0.892651609604897,0.9641884531590414,0.9641884531590414,0.984702559018241,0.8580413987920538,0.8444444444444444,0.9387755102040817,0.8444444444444444,0.8572241215574549,0.8519023146646677,1.5377777777777777,133.92444444444445,0.0,0.0,0.13333333333333333,0.18762612624496644,0.10161729606238347,8.519781333161518,3.833901599922683,0.8995169082125604,2.0,2.0
without poisoning penalty,0.8876275706302003,0.9515250544662309,0.9515250544662309,0.980503471651578,0.8542272593205631,0.8314606741573034,0.9494949494949495,0.8409090909090909,0.8614815678149012,0.8563161834326309,1.488888888888889,129.6577777777778,0.0,0.0,0.13777777777777775,0.18920968982875422,0.11062538763987943,8.440774666378275,3.7983485998702236,0.8856382978723405,3.0,4.0
without redundancy penalty,0.8820957403533756,0.937636165577342,0.937636165577342,0.974618170165998,0.8474121414881225,0.8409090909090909,0.9387755102040817,0.8409090909090909,0.867374082707416,0.8624102209187036,1.4244444444444444,124.04666666666667,0.0,0.0,0.14444444444444446,0.17456880678334094,0.11532960990928566,9.42206933357132,4.239931200107094,0.8957509881422925,4.0,3.0
Full TeleMin-RAG,0.8796479584792557,0.9389978213507625,0.9389978213507625,0.9756057558047044,0.8454661390811212,0.8314606741573034,0.9494949494949495,0.8409090909090909,0.869304929638263,0.8644135908316734,1.4022222222222223,122.11333333333333,0.0,0.0,0.14666666666666667,0.17510064884141277,0.11983737407734722,8.675888000030278,3.904149600013625,0.8856382978723405,5.0,4.0
adaptive-k TeleMin,0.8796479584792557,0.9389978213507625,0.9389978213507625,0.9756057558047044,0.8454661390811212,0.8314606741573034,0.9494949494949495,0.8409090909090909,0.869304929638263,0.8644135908316734,1.4022222222222223,122.11333333333333,0.0,0.0,0.14666666666666667,0.17510064884141277,0.11983737407734722,11.018788666697219,4.958454900013749,0.8856382978723405,5.0,4.0
without semantic similarity,0.8796479584792557,0.9375,0.9375,0.974942324808456,0.8454661390811212,0.8314606741573034,0.9494949494949495,0.8409090909090909,0.8680561167227833,0.8631185014036045,1.4155555555555557,123.27333333333333,0.0,0.0,0.14666666666666667,0.1758130632585285,0.12034237214152081,10.414164444535142,4.686374000040814,0.8856382978723405,5.0,4.0
fixed-k TeleMin,0.7198936040769072,0.9744008714596951,0.9744008714596951,0.9844805226978469,0.7107375290173877,0.5833333333333334,0.9615384615384616,0.5833333333333334,0.7234071484071484,0.713249766990064,3.0,261.1911111111112,0.0,0.0,0.2866666666666666,0.30652696197036716,0.18173346096533127,7.6036562223453075,3.4216453000553884,0.6066666666666667,8.0,8.0
