dataset,method,noise_level,poison_rate,poison_strategy,seed,downstream_model,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,llm_model,llm_provider,llm_baseline,llm_batches,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,instruction,2,logistic,0.054491200018674135,2.369182609507571,0.8260869565217391,0.6666666666666666,0.4,0.5,0.6973684210526316,0.888888888888889,0.888888888888889,0.6726190476190477,0.1437836816018284,0.18198050329694312,0.17391304347826086,9.0,207.0,0.0,0.0,1.0,23.0,520.2608695652174,11966.0,49.52173913043478,1139.0,9.0,207.0,0.0,0.0,1.0,23.0,520.2608695652174,11966.0,49.52173913043478,1139.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.09518636135717867,3.900029696524143e-06,8.0,,,,,,,,,,,,,,1.0,0.0
BGL,Full Context,0.5,0.1,instruction,2,logistic,0.05939479998778552,2.5823826081645875,0.782608695652174,0.5,0.4,0.4444444444444444,0.6546546546546547,0.7777777777777777,0.7777777777777777,0.6552272727272728,0.16455279407880596,0.15118659437629675,0.21739130434782608,13.0,299.0,4.0,92.0,1.0,23.0,761.1739130434783,17507.0,51.69565217391305,1189.0,13.0,299.0,4.0,92.0,1.0,23.0,761.1739130434783,17507.0,51.69565217391305,1189.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.06791569086651054,3.900029696524143e-06,8.0,,,,,,,,,,,,,,0.8888888888888888,0.05555555555555558
BGL,Random-k Selection,0.0,0.1,instruction,2,logistic,0.06964749994222075,3.028152171400902,0.8260869565217391,0.6666666666666666,0.4,0.5,0.6973684210526316,0.8222222222222223,0.8222222222222223,0.6579365079365079,0.14991356585295473,0.22807746038872556,0.17391304347826086,3.0,69.0,0.0,0.0,0.34782608695652173,8.0,172.1304347826087,3959.0,17.043478260869566,392.0,9.0,207.0,0.0,0.0,1.0,23.0,520.2608695652174,11966.0,49.52173913043478,1139.0,0.0,0.11594202898550725,0.34782608695652173,0.0,0.6666666666666667,0.6691459134213605,0.09901490275322052,1.100008375942707e-06,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.5,0.1,instruction,2,logistic,0.05679160007275641,2.4692000031633223,0.8260869565217391,0.6666666666666666,0.4,0.5,0.6973684210526316,0.7777777777777778,0.7777777777777778,0.6298701298701299,0.15417816633647147,0.2026016262914522,0.17391304347826086,3.0,69.0,0.8695652173913043,20.0,0.34782608695652173,8.0,169.2608695652174,3893.0,17.91304347826087,412.0,13.0,299.0,4.0,92.0,1.0,23.0,761.1739130434783,17507.0,51.69565217391305,1189.0,0.2898550724637681,0.11594202898550725,0.34782608695652173,0.21739130434782608,0.7692307692307692,0.7776318044210887,0.10583097867968148,1.100008375942707e-06,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.0,0.1,instruction,2,logistic,0.0660300999879837,2.8708739125210307,0.7391304347826086,0.4,0.4,0.4,0.6166666666666667,0.9,0.9,0.7392857142857143,0.14589693334098366,0.26604661951298264,0.2608695652173913,3.0,69.0,0.0,0.0,0.6086956521739131,14.0,178.1304347826087,4097.0,29.82608695652174,686.0,9.0,207.0,0.0,0.0,1.0,23.0,520.2608695652174,11966.0,49.52173913043478,1139.0,0.0,0.2028985507246377,0.6086956521739131,0.0,0.6666666666666667,0.6576132375062678,0.16743958994386135,0.043389500002376735,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.5,0.1,instruction,2,logistic,0.06484519992955029,2.8193565186760994,0.6521739130434783,0.2857142857142857,0.4,0.3333333333333333,0.5490196078431372,0.7,0.7,0.5909663865546219,0.1966757226853647,0.22621356396370748,0.34782608695652173,3.0,69.0,1.3043478260869565,30.0,0.5217391304347826,12.0,200.7391304347826,4617.0,25.565217391304348,588.0,13.0,299.0,4.0,92.0,1.0,23.0,761.1739130434783,17507.0,51.69565217391305,1189.0,0.43478260869565216,0.17391304347826086,0.5217391304347826,0.32608695652173914,0.7692307692307692,0.7362769178043069,0.12735542560103963,0.043389500002376735,3.0,,,,,,,,,,,,,,0.8333333333333333,0.06666666666666671
BGL,Mutual Information Feature Selection,0.0,0.1,instruction,2,logistic,0.05242819990962744,2.2794869525924972,0.8695652173913043,0.75,0.6,0.6666666666666666,0.7927927927927928,0.7666666666666667,0.7666666666666667,0.7097402597402598,0.13265381191179457,0.19826351163812447,0.13043478260869565,3.0,69.0,0.0,0.0,0.08695652173913043,2.0,174.7826086956522,4020.0,4.260869565217392,98.0,9.0,207.0,0.0,0.0,1.0,23.0,520.2608695652174,11966.0,49.52173913043478,1139.0,0.0,0.028985507246376812,0.08695652173913043,0.0,0.6666666666666667,0.6640481363864282,0.02437810945273632,7.91541060002055,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,Mutual Information Feature Selection,0.5,0.1,instruction,2,logistic,0.06778499996289611,2.9471739114302657,0.782608695652174,0.5,0.4,0.4444444444444444,0.6546546546546547,0.48888888888888893,0.5111111111111111,0.5230835240274601,0.1709843811281653,0.16615185214316802,0.21739130434782608,3.0,69.0,1.5217391304347827,35.0,0.0,0.0,166.2173913043478,3823.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,761.1739130434783,17507.0,51.69565217391305,1189.0,0.5072463768115942,0.0,0.0,0.3804347826086957,0.7692307692307692,0.7816302050608328,0.0,7.91541060002055,3.0,,,,,,,,,,,,,,0.6666666666666666,0.2222222222222222
BGL,Embedding Similarity Selection,0.0,0.1,instruction,2,logistic,0.44236099999397993,19.233086956259996,0.8260869565217391,0.6666666666666666,0.4,0.5,0.6973684210526316,0.9111111111111111,0.9111111111111111,0.7644444444444445,0.1346798677216167,0.2526709897280265,0.17391304347826086,3.0,69.0,0.0,0.0,1.0,23.0,170.69565217391303,3926.0,49.52173913043478,1139.0,9.0,207.0,0.0,0.0,1.0,23.0,520.2608695652174,11966.0,49.52173913043478,1139.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666667,0.6719037272271435,0.2901171676006113,0.4166889999760315,3.0,,,,,,,,,,,,,,1.0,0.0
BGL,Embedding Similarity Selection,0.5,0.1,instruction,2,logistic,0.5267383999889717,22.901669564737897,0.8260869565217391,0.6666666666666666,0.4,0.5,0.6973684210526316,0.7111111111111111,0.7111111111111111,0.5768115942028986,0.1634684599358566,0.17337412713256042,0.17391304347826086,3.0,69.0,1.0,23.0,1.0,23.0,185.8695652173913,4275.0,51.69565217391305,1189.0,13.0,299.0,4.0,92.0,1.0,23.0,761.1739130434783,17507.0,51.69565217391305,1189.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.7692307692307692,0.7558119609299138,0.2781286549707602,0.4166889999760315,3.0,,,,,,,,,,,,,,1.0,0.0
