method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
TeleMin-RAG,0.9044444444444445,0.8999172870140613,0.8999172870140613,0.8830024737364018,0.9429312169312168,0.88,0.88,0.9166666666666666,0.8485414832081498,0.8410472733106872,1.6400000000000003,98.57333333333334,0.0,0.0,0.031111111111111114,0.18519594637593473,0.06824086040974106,18.013470222164568,8.106061599974055,1.0416666666666665,1.0,3.0
Mutual Information Feature Selection,0.8965942028985507,0.9011579818031431,0.9011579818031431,0.8785277377557206,0.9383603435440134,0.8695652173913043,0.88,0.8695652173913043,0.7234071484071484,0.7283459564923658,3.0,168.6533333333333,0.0007407407407407407,0.0022222222222222222,0.03333333333333333,0.16497351454667233,0.06393669502727778,2.9040953335869646,1.306842900114134,0.9881422924901185,2.0,4.0
Embedding Similarity Selection,0.8665101565101564,0.988833746898263,0.988833746898263,0.9620431102616411,0.9199084472838108,0.8181818181818182,0.88,0.8181818181818182,0.7234071484071484,0.722697363426435,3.0,173.17555555555555,0.32814814814814813,0.9844444444444446,0.044444444444444446,0.22122596659363958,0.07813113185058375,16.071253555516403,7.232064099982381,0.9297520661157025,3.0,6.0
Full Context,0.8506315289648624,0.9714640198511165,0.9714640198511165,0.9259792278471326,0.9098958018649862,0.8,0.8148148148148148,0.9166666666666666,0.0,0.0,11.0,631.76,0.0921976171976172,1.0,0.051111111111111114,0.20089115130352594,0.07833068703394545,2.2778044445698877,1.0250120000564493,1.125,4.0,1.0
TF-IDF/BM25 Selection,0.8188034188034187,0.9567824648469809,0.9567824648469809,0.9061281696349569,0.8914225320676934,0.8,0.8,0.8333333333333334,0.7234071484071484,0.7005448442320586,3.0,187.36444444444444,0.22074074074074077,0.6622222222222222,0.06,0.22356537833177556,0.09252245833962865,2.5582484444344624,1.151211799995508,1.0416666666666667,5.0,2.0
Random-k Selection,0.6813484743919527,0.9106699751861043,0.9106699751861043,0.7908101644567368,0.8109599432204394,0.5454545454545454,0.7407407407407407,0.72,0.7234071484071484,0.7240757301809198,3.0,171.69333333333336,0.09037037037037036,0.27111111111111114,0.10000000000000002,0.18024650188515767,0.10253354122039554,1.2543697776790295,0.5644663999555632,0.972,6.0,5.0
