dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,instruction,2,0.18064969999250025,2.40866266656667,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9751861042183623,0.9751861042183623,0.9310792693145633,0.07270784069560741,0.18456564913943777,0.06666666666666667,9.0,675.0,0.0,0.0,1.0,75.0,512.0933333333334,38407.0,50.333333333333336,3775.0,9.0,675.0,0.0,0.0,1.0,75.0,512.0933333333334,38407.0,50.333333333333336,3775.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.09828937433280392,3.00002284348011e-06,8.0,,,,,,,,,,1.0,0.0
BGL,Full Context,0.1,0.1,instruction,2,0.1574352000025101,2.099136000033468,0.9466666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9069478908188586,0.9764267990074441,0.9764267990074441,0.9325037707390647,0.07608835720446586,0.19068735560219782,0.05333333333333334,10.0,750.0,1.0,75.0,1.0,75.0,572.5866666666667,42944.0,50.84,3813.0,10.0,750.0,1.0,75.0,1.0,75.0,572.5866666666667,42944.0,50.84,3813.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0887900521609538,3.00002284348011e-06,8.0,,,,,,,,,,1.0384615384615385,-0.031339031339031376
BGL,Full Context,0.2,0.1,instruction,2,0.1919476999901235,2.5593026665349803,0.96,0.9166666666666666,0.8461538461538461,0.88,0.9279999999999999,0.9540942928039702,0.9540942928039702,0.9101039501039501,0.0810017680575762,0.20710825683773343,0.04,11.0,825.0,2.0,150.0,1.0,75.0,634.4666666666667,47585.0,49.77333333333333,3733.0,11.0,825.0,2.0,150.0,1.0,75.0,634.4666666666667,47585.0,49.77333333333333,3733.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.07844909110013659,3.00002284348011e-06,8.0,,,,,,,,,,1.08,-0.06518518518518523
BGL,Full Context,0.3,0.1,instruction,2,0.13520090002566576,1.8026786670088768,0.9466666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9069478908188586,0.9751861042183623,0.9751861042183623,0.9331983805668014,0.07885662168138563,0.20707223512287823,0.05333333333333334,11.0,825.0,2.0,150.0,1.0,75.0,632.68,47451.0,49.986666666666665,3749.0,11.0,825.0,2.0,150.0,1.0,75.0,632.68,47451.0,49.986666666666665,3749.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.0790078185918105,3.00002284348011e-06,8.0,,,,,,,,,,1.0384615384615385,-0.031339031339031376
BGL,Full Context,0.4,0.1,instruction,2,0.2047269000322558,2.7296920004300773,0.9333333333333333,0.8333333333333334,0.7692307692307693,0.8,0.88,0.9764267990074442,0.9764267990074442,0.9218430692114901,0.08076222212919486,0.19587315229201674,0.06666666666666667,12.0,900.0,3.0,225.0,1.0,75.0,690.28,51771.0,49.77333333333333,3733.0,12.0,900.0,3.0,225.0,1.0,75.0,690.28,51771.0,49.77333333333333,3733.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.0721060052925383,3.00002284348011e-06,8.0,,,,,,,,,,0.9818181818181819,0.014814814814814725
BGL,Full Context,0.5,0.1,instruction,2,0.1550516000133939,2.0673546668452523,0.9733333333333334,1.0,0.8461538461538461,0.9166666666666666,0.9503968253968254,0.9714640198511166,0.9714640198511166,0.927146927146927,0.08056731243544278,0.22004025882689165,0.02666666666666667,13.0,975.0,4.0,300.0,1.0,75.0,748.4533333333334,56134.0,49.96,3747.0,13.0,975.0,4.0,300.0,1.0,75.0,748.4533333333334,56134.0,49.96,3747.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.06675098870559731,3.00002284348011e-06,8.0,,,,,,,,,,1.125,-0.10185185185185186
BGL,Random-k Selection,0.0,0.1,instruction,2,0.07091950002359226,0.9455933336478969,0.9066666666666666,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.8419150858175248,0.946650124069479,0.946650124069479,0.8394590703414231,0.0971340067730732,0.17034758319915597,0.09333333333333334,3.0,225.0,0.0,0.0,0.38666666666666666,29.0,171.6,12870.0,19.666666666666668,1475.0,9.0,675.0,0.0,0.0,1.0,75.0,512.0933333333334,38407.0,50.333333333333336,3775.0,0.0,0.1288888888888889,0.38666666666666666,0.0,0.6666666666666667,0.6649048350561095,0.11460761460761461,1.00000761449337e-06,3.0,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.1,0.1,instruction,2,0.06023020000429824,0.8030693333906432,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9727047146401986,0.9727047146401986,0.9031484602158778,0.08970850559453065,0.1956738030196761,0.06666666666666667,3.0,225.0,0.18666666666666668,14.0,0.25333333333333335,19.0,172.25333333333333,12919.0,12.6,945.0,10.0,750.0,1.0,75.0,1.0,75.0,572.5866666666667,42944.0,50.84,3813.0,0.06222222222222222,0.08444444444444445,0.25333333333333335,0.18666666666666668,0.7,0.6991663561847988,0.07314807647650746,1.00000761449337e-06,3.0,,,,,,,,,,1.1,-0.07407407407407407
BGL,Random-k Selection,0.2,0.1,instruction,2,0.08648899995023385,1.153186666003118,0.9066666666666666,0.8,0.6153846153846154,0.6956521739130435,0.8202670318384115,0.9218362282878413,0.9218362282878413,0.8144061778677163,0.09932562091937552,0.17698643820557963,0.09333333333333334,3.0,225.0,0.5333333333333333,40.0,0.28,21.0,172.4,12930.0,13.986666666666666,1049.0,11.0,825.0,2.0,150.0,1.0,75.0,634.4666666666667,47585.0,49.77333333333333,3733.0,0.17777777777777778,0.09333333333333334,0.28,0.26666666666666666,0.7272727272727273,0.7282757171377535,0.0811291569992266,1.00000761449337e-06,3.0,,,,,,,,,,0.9391304347826087,0.04508856682769724
BGL,Random-k Selection,0.3,0.1,instruction,2,0.12484860001131892,1.664648000150919,0.88,0.75,0.46153846153846156,0.5714285714285714,0.7508305647840532,0.9230769230769231,0.9230769230769231,0.7638881135204663,0.10385263308224099,0.1936131128676961,0.12,3.0,225.0,0.5866666666666667,44.0,0.22666666666666666,17.0,173.72,13029.0,11.293333333333333,847.0,11.0,825.0,2.0,150.0,1.0,75.0,632.68,47451.0,49.986666666666665,3749.0,0.19555555555555557,0.07555555555555556,0.22666666666666666,0.29333333333333333,0.7272727272727273,0.7254220142884238,0.06500882646404176,1.00000761449337e-06,3.0,,,,,,,,,,0.7714285714285715,0.1693121693121693
BGL,Random-k Selection,0.4,0.1,instruction,2,0.11147399997571483,1.4863199996761978,0.8666666666666667,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.7336647727272727,0.8101736972704715,0.8101736972704715,0.653436287741731,0.11843409944670458,0.15299603404680606,0.13333333333333333,3.0,225.0,0.8533333333333334,64.0,0.26666666666666666,20.0,166.92,12519.0,13.413333333333334,1006.0,12.0,900.0,3.0,225.0,1.0,75.0,690.28,51771.0,49.77333333333333,3733.0,0.28444444444444444,0.08888888888888889,0.26666666666666666,0.28444444444444444,0.75,0.7581850843136119,0.08035785605879064,1.00000761449337e-06,3.0,,,,,,,,,,0.7363636363636363,0.19528619528619529
BGL,Random-k Selection,0.5,0.1,instruction,2,0.11050509999040514,1.473401333205402,0.9066666666666666,0.75,0.6923076923076923,0.72,0.832,0.8895781637717122,0.8895781637717122,0.7705228770532064,0.10674638150644829,0.19186203997203227,0.09333333333333334,3.0,225.0,0.92,69.0,0.21333333333333335,16.0,173.26666666666668,12995.0,10.453333333333333,784.0,13.0,975.0,4.0,300.0,1.0,75.0,748.4533333333334,56134.0,49.96,3747.0,0.30666666666666664,0.07111111111111111,0.21333333333333335,0.23,0.7692307692307692,0.7685003741048206,0.06033089649865333,1.00000761449337e-06,3.0,,,,,,,,,,0.972,0.020740740740740726
BGL,TF-IDF/BM25 Selection,0.0,0.1,instruction,2,0.18394980003358796,2.4526640004478395,0.9333333333333333,0.8333333333333334,0.7692307692307693,0.8,0.88,0.9714640198511166,0.9714640198511166,0.9182755705832629,0.0737112113168463,0.18804066343056836,0.06666666666666667,3.0,225.0,0.0,0.0,0.72,54.0,175.64,13173.0,35.653333333333336,2674.0,9.0,675.0,0.0,0.0,1.0,75.0,512.0933333333334,38407.0,50.333333333333336,3775.0,0.0,0.24,0.72,0.0,0.6666666666666667,0.6570156481891322,0.20299096637060654,0.08931009995285422,3.0,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.1,0.1,instruction,2,0.23857350001344457,3.180980000179261,0.9466666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9069478908188586,0.9851116625310173,0.9851116625310173,0.948901098901099,0.07718419826918078,0.20917376485519015,0.05333333333333334,3.0,225.0,0.3466666666666667,26.0,0.76,57.0,178.8,13410.0,38.17333333333333,2863.0,10.0,750.0,1.0,75.0,1.0,75.0,572.5866666666667,42944.0,50.84,3813.0,0.11555555555555555,0.25333333333333335,0.76,0.3466666666666667,0.7,0.6877328614008942,0.21349739000745713,0.08931009995285422,3.0,,,,,,,,,,1.0576923076923077,-0.0461538461538461
BGL,TF-IDF/BM25 Selection,0.2,0.1,instruction,2,0.1441979999653995,1.92263999953866,0.9333333333333333,0.8333333333333334,0.7692307692307693,0.8,0.88,0.924317617866005,0.924317617866005,0.8686840120663649,0.09876882526675397,0.23139700127035995,0.06666666666666667,3.0,225.0,0.8266666666666667,62.0,0.6666666666666666,50.0,188.85333333333332,14164.0,32.666666666666664,2450.0,11.0,825.0,2.0,150.0,1.0,75.0,634.4666666666667,47585.0,49.77333333333333,3733.0,0.27555555555555555,0.2222222222222222,0.6666666666666666,0.41333333333333333,0.7272727272727273,0.7023431753703898,0.17297373623270262,0.08931009995285422,3.0,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.3,0.1,instruction,2,0.17138099996373057,2.2850799995164075,0.9333333333333333,0.8333333333333334,0.7692307692307693,0.8,0.88,0.9454094292803971,0.9454094292803971,0.8994419042495966,0.09905880197141465,0.22191330259148176,0.06666666666666667,3.0,225.0,0.8,60.0,0.6533333333333333,49.0,185.77333333333334,13933.0,32.38666666666666,2429.0,11.0,825.0,2.0,150.0,1.0,75.0,632.68,47451.0,49.986666666666665,3749.0,0.26666666666666666,0.21777777777777776,0.6533333333333333,0.4,0.7272727272727273,0.7063707824914123,0.1743343142180435,0.08931009995285422,3.0,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.4,0.1,instruction,2,0.18681440001819283,2.490858666909238,0.9466666666666667,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.9007936507936508,0.9813895781637717,0.9813895781637717,0.9362372167802032,0.1038249730435944,0.25887016475333285,0.05333333333333334,3.0,225.0,1.12,84.0,0.6,45.0,197.85333333333332,14839.0,29.586666666666666,2219.0,12.0,900.0,3.0,225.0,1.0,75.0,690.28,51771.0,49.77333333333333,3733.0,0.37333333333333335,0.2,0.6,0.37333333333333335,0.75,0.7133723513163741,0.1495383785969405,0.08931009995285422,3.0,,,,,,,,,,1.0416666666666667,-0.033333333333333326
BGL,TF-IDF/BM25 Selection,0.5,0.1,instruction,2,0.2262951000011526,3.017268000015368,0.9466666666666667,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.9007936507936508,0.9330024813895782,0.9330024813895782,0.8652292152292153,0.10258674016998179,0.2319973730897202,0.05333333333333334,3.0,225.0,1.32,99.0,0.5733333333333334,43.0,197.26666666666668,14795.0,28.093333333333334,2107.0,13.0,975.0,4.0,300.0,1.0,75.0,748.4533333333334,56134.0,49.96,3747.0,0.44,0.19111111111111112,0.5733333333333334,0.33,0.7692307692307692,0.7364342466241494,0.14241297735721528,0.08931009995285422,3.0,,,,,,,,,,1.0416666666666667,-0.033333333333333326
BGL,Mutual Information Feature Selection,0.0,0.1,instruction,2,0.17165040003601462,2.288672000480195,0.96,0.9166666666666666,0.8461538461538461,0.88,0.9279999999999999,0.901985111662531,0.901985111662531,0.8840141939646323,0.06400716687614184,0.17010669279257648,0.04,3.0,225.0,0.0,0.0,0.013333333333333334,1.0,173.0,12975.0,0.6533333333333333,49.0,9.0,675.0,0.0,0.0,1.0,75.0,512.0933333333334,38407.0,50.333333333333336,3775.0,0.0,0.0044444444444444444,0.013333333333333334,0.0,0.6666666666666667,0.6621709584190382,0.0037764932562620425,16.4173297000234,3.0,,,,,,,,,,1.0,0.0
BGL,Mutual Information Feature Selection,0.1,0.1,instruction,2,0.1844414999941364,2.4592199999218187,0.9733333333333334,1.0,0.8461538461538461,0.9166666666666666,0.9503968253968254,0.9007444168734491,0.9007444168734491,0.883749783599746,0.06291784740041859,0.1684082409341239,0.02666666666666667,3.0,225.0,0.37333333333333335,28.0,0.0,0.0,173.82666666666665,13037.0,0.0,0.0,10.0,750.0,1.0,75.0,1.0,75.0,572.5866666666667,42944.0,50.84,3813.0,0.12444444444444444,0.0,0.0,0.37333333333333335,0.7,0.6964185916542474,0.0,16.4173297000234,3.0,,,,,,,,,,1.0416666666666665,-0.036666666666666625
