method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.44285714285714284,0.7138888888888889,0.7138888888888889,0.45186900056465273,0.6615995115995116,0.2857142857142857,0.2857142857142857,0.6,0.4563359345968042,0.4568301486063325,5.782608695652174,271.04347826086956,0.0,0.0,0.19565217391304346,0.14195652173913045,0.17214565217391303,1096.8620391314566,50.455653800047,2.1,1.0,1.0
Full Context,0.3333333333333333,0.7722222222222221,0.7722222222222221,0.5916339869281046,0.6166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,11.0,516.1304347826087,0.09401709401709402,1.0,0.17391304347826086,0.21484927636180728,0.18753240609810196,1.3853391308499419,0.06372560001909733,1.0,2.0,2.0
Mutual Information Feature Selection,0.3333333333333333,0.6000000000000001,0.6000000000000001,0.44059618938068257,0.6166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.717948717948718,0.7114833215062846,3.0,143.6521739130435,0.0,0.0,0.17391304347826086,0.13382049489312042,0.16468740501000428,1.7141500012139264,0.07885090005584061,1.0,2.0,2.0
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.3333333333333333,0.6555555555555557,0.6555555555555557,0.44914938862307285,0.6166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.717948717948718,0.7395341216292396,3.0,129.6304347826087,0.0,0.0,0.17391304347826086,0.14608695652173911,0.16007826086956523,938.0811521727794,43.15173299994785,1.0,2.0,2.0
TF-IDF/BM25 Selection,0.3333333333333333,0.6722222222222223,0.6722222222222223,0.4480549199084668,0.6166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.717948717948718,0.7395341216292396,3.0,129.6304347826087,0.0,0.0,0.17391304347826086,0.22370276876949285,0.19078059167048905,1.433878261393503,0.06595840002410114,1.0,2.0,2.0
TeleMin-RAG,0.3333333333333333,0.75,0.75,0.5492728758169935,0.6166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4563359345968042,0.4568301486063325,5.782608695652174,271.04347826086956,0.0,0.0,0.17391304347826086,0.14404592900369922,0.1587034780476868,11.120836956568224,0.5115585000021383,1.0,2.0,2.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.29395604395604397,0.2916666666666667,0.7083333333333333,0.18888230127360564,0.14697802197802198,0.23076923076923078,0.35714285714285715,0.23076923076923078,0.0,0.0,11.0,516.1304347826087,0.09401709401709402,1.0,0.8260869565217391,0.7569565217391303,0.7180782608695652,936.3771608711787,43.07334940007422,0.6461538461538462,7.0,7.0
Random-k Selection,0.27142857142857146,0.36944444444444446,0.6305555555555555,0.23833014562873897,0.500297619047619,0.14285714285714285,0.4,0.14285714285714285,0.717948717948718,0.7182716407467566,3.0,140.3478260869565,0.11594202898550725,0.34782608695652173,0.3913043478260869,0.2615929780904921,0.24830060771406948,1.0425347819640909,0.04795659997034818,0.3571428571428571,8.0,8.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.14285714285714285,0.26388888888888884,0.7361111111111112,0.1945392867291844,0.22912087912087914,0.0,0.0,0.2857142857142857,0.0,0.0,11.0,516.1304347826087,0.09401709401709402,1.0,0.7608695652173914,0.692391304347826,0.6458369565217392,1055.916504347292,48.57215919997543,,9.0,
Embedding Similarity Selection,0.0,0.44166666666666665,0.5583333333333333,0.21869175501141444,0.43902439024390244,0.0,0.0,0.0,0.717948717948718,0.732056167599358,3.0,133.5,0.3333333333333333,1.0,0.21739130434782608,0.24498937767897036,0.2301956682781843,6.4961369574555885,0.29882230004295707,,10.0,
