method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
without bootstrap robustness,0.8742274194877171,0.9311943453445042,0.9311943453445042,0.9258230295232306,0.8827981347898095,0.7407407407407407,0.8925594392281049,0.8580283607850676,0.8302609427609428,0.8156685172887224,1.832888888888889,137.7635555555556,0.0,0.0,0.09044444444444445,0.17400080165216394,0.09310972948294725,8.212946000017434,36.95825700007845,0.9613122925763912,1.0,3.0
Full TeleMin-RAG,0.865557034486306,0.9143812288529919,0.9143812288529919,0.9193857604445805,0.8735663590873115,0.7586206896551724,0.8936297504682275,0.8488163064671976,0.845687300353967,0.8333252905933723,1.663777777777778,122.87111111111112,0.0,0.0,0.10088888888888888,0.16549796977252354,0.09956594387596691,7.927115088846121,35.67201789980754,0.9498523365213062,2.0,5.0
adaptive-k TeleMin,0.865557034486306,0.9143812288529919,0.9143812288529919,0.9193857604445805,0.8735663590873115,0.7586206896551724,0.8936297504682275,0.8488163064671976,0.845687300353967,0.8333252905933723,1.663777777777778,122.87111111111112,0.0,0.0,0.10088888888888888,0.16549796977252354,0.09956594387596691,8.756729044447033,39.405280700011645,0.9498523365213062,2.0,5.0
without rarity,0.8595321088789628,0.9158214833895015,0.9158214833895015,0.9136048963779536,0.8707590664722782,0.75,0.8723651796114851,0.8449972080704411,0.8460905551238885,0.8372840965105123,1.6595555555555557,121.76933333333332,0.0,0.0,0.09911111111111111,0.1658354304994506,0.09488229138068181,8.006566622242746,36.029549800092354,0.9686278496887822,4.0,2.0
without semantic similarity,0.8557970525930777,0.9060220964037771,0.9060220964037771,0.9135450863502051,0.8670364588865537,0.72,0.8824186958766399,0.8438957223617873,0.8472256841923509,0.8346004040712071,1.6464444444444444,121.99266666666668,0.0,0.0,0.10533333333333332,0.17011522954101796,0.10296066152910284,8.236145355596413,37.06265410018386,0.9563438833573422,5.0,4.0
without poisoning penalty,0.8545467742939649,0.9113935827880456,0.9113935827880456,0.9175888393925218,0.8676348515979941,0.7333333333333333,0.8830041422197201,0.8347730334564896,0.806831848398515,0.802966493921047,2.0864444444444445,144.05977777777778,0.12381393356300299,0.33399999999999996,0.10355555555555555,0.17460730488574489,0.10079832667063449,8.396126688807271,37.78257009963272,0.9453783890050778,6.0,7.0
without redundancy penalty,0.8509400909047297,0.912222057920371,0.912222057920371,0.9126068674953326,0.8642243237752886,0.7142857142857143,0.8614208848795315,0.8420001839720703,0.8410766554433221,0.8267293996618589,1.7133333333333334,127.47866666666668,0.0,0.0,0.10555555555555557,0.1657429854835028,0.100853377415521,8.11716726659021,36.527252699655946,0.9774550382416406,7.0,1.0
fixed-k TeleMin,0.7669850416248372,0.9419784820217985,0.9419784820217985,0.9251372072801376,0.7960239634236758,0.4927536231884058,0.8869163212421898,0.6937868879036647,0.7234071484071484,0.7223807128496206,3.0,215.75777777777773,0.0,0.0,0.17555555555555558,0.22387084709501362,0.1285131609321998,7.128223577837668,32.0770061002695,0.7822461615453942,8.0,8.0
