dataset,method,f1_mean,f1_std,f1_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,auroc_mean,auroc_std,auroc_ci95,auprc_mean,auprc_std,auprc_ci95,context_reduction_mean,context_reduction_std,context_reduction_ci95,token_reduction_mean,token_reduction_std,token_reduction_ci95,poison_event_selection_rate_mean,poison_event_selection_rate_std,poison_event_selection_rate_ci95,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_ci95,latency_per_context_ms_mean,latency_per_context_ms_std,latency_per_context_ms_ci95,rank_f1
UNSW_NB15,Embedding Similarity Selection,0.9187314880027203,0.0437402831488006,0.01565225930481064,0.8753908617000228,0.05838344118948227,0.02089224611318038,0.9334941484741263,0.036069598556517195,0.012907340076112694,0.9620334343044747,0.021247922997346853,0.00760347159417604,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7346036434853579,0.036647725449323064,0.013114220127768922,0.5928888888888888,0.15429417425635628,0.05521346115813496,0.10888888888888885,0.05436737057645137,0.019455113701217174,19.571487777762943,6.016354865260102,2.1529249387904894,1.0
UNSW_NB15,TeleMin-RAG,0.8764263308680825,0.043015698587541784,0.015392970049583302,0.8340252743903189,0.047553119107438695,0.017016665129717747,0.9060163865728158,0.0404677204971489,0.014481187799840381,0.9507094381350698,0.027481705456315158,0.009834201998129257,0.8743265993265992,0.028740024039796072,0.010284485520293547,0.8695737623494623,0.030402251565968454,0.010879306001330087,0.0,0.0,0.0,0.1542222222222222,0.04809738949379162,0.017211429786136278,19.88983835554164,5.656586890303002,2.024183622360544,2.0
UNSW_NB15,Full Context,0.8665095844745001,0.09079810822005992,0.032491685739935744,0.8290624702729436,0.08935634767462952,0.03197575835474367,0.9548751305759122,0.02482343661654878,0.00888295271059321,0.975311952383313,0.012674978810029873,0.0045356829159668545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1595555555555555,0.09187586716908591,0.03287735682671968,3.504727689006055,0.668032507040531,0.2390523625251806,3.0
BGL,TeleMin-RAG,0.8546877381045298,0.045710944733879856,0.01635745149633708,0.9131074437843038,0.028230744636269057,0.010102242226268992,0.922746071133168,0.04206004343261024,0.015050993244355928,0.8880620827540913,0.04330963419677795,0.015498153556489978,0.8170480013813347,0.03304465445989808,0.01182487773306458,0.7970768188372827,0.04580967952213828,0.016392783286553643,0.0,0.0,0.0,0.04755555555555553,0.017745180843465793,0.006350031412183513,19.70896235550754,2.013716813277122,0.7205993070654083,4.0
UNSW_NB15,Random-k Selection,0.8448554329897472,0.0763781248411338,0.027331560958617312,0.7961190280997628,0.08254996354976353,0.029540125076190686,0.9228926616756594,0.042233706833892506,0.015113137894388902,0.9544233835460123,0.02929118325653767,0.01048171531300723,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7233894593654586,0.03366638384139665,0.012047360734912775,0.27466666666666667,0.0742451154268815,0.026568273342533495,0.19066666666666662,0.08375479628285858,0.0299712689326027,1.775318177727362,0.28223086497066285,0.10099501796350276,5.0
BGL,Embedding Similarity Selection,0.8022491296245466,0.06756114883035885,0.024176446613896188,0.8787354278743444,0.04270171948366439,0.015280614070234415,0.9629032258064517,0.030993145327807683,0.011090754618396394,0.9227317133199047,0.045389293511591954,0.016242350084674236,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7302391258149162,0.026764728541114072,0.009577635104080735,0.980888888888889,0.012470143142210895,0.0044623834136140765,0.07288888888888885,0.02881747731365222,0.010312201818386055,15.29688137769699,2.198037840667839,0.7865577396213649,6.0
BGL,Full Context,0.7982315742147963,0.06791218950485595,0.02430206490596513,0.8754927622175823,0.043514043556380076,0.015571300506406571,0.9715880893300248,0.013046533241130191,0.004668641961559888,0.9167978251401947,0.037450377933905495,0.01340144563057592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0764444444444444,0.030310441448316558,0.010846452172665924,2.43622813337586,0.6409547990551373,0.2293627291653439,7.0
BGL,Mutual Information Feature Selection,0.7926070591632809,0.0709068100684338,0.02537367611207421,0.8748166898651046,0.04334643620561931,0.01551132298622054,0.928701406120761,0.0362948230045189,0.012987935609751854,0.8760707865705971,0.03898427571402246,0.013950343901759666,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7306062564307856,0.040801178540887814,0.014600514228298115,0.0008888888888888867,0.003382775089366157,0.0012105105192961002,0.0711111111111111,0.026280732177401987,0.009404439229659086,3.052882444449804,0.8624234953354285,0.30861428431154153,8.0
BGL,TF-IDF/BM25 Selection,0.7779869773074262,0.06181608390903926,0.022120601534760448,0.8621545077273279,0.03915943276803034,0.014013023048556027,0.9727460711331677,0.019030604513873433,0.006810014365135969,0.9220271766035056,0.035515718425976,0.012709136616900497,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7080504322563524,0.026536169826244713,0.009495846418366488,0.6026666666666666,0.06218499159826772,0.022252613455938434,0.0862222222222222,0.027287785617993797,0.00976480867519563,2.414246888908868,0.38674538931450825,0.13839506017593342,9.0
UNSW_NB15,TF-IDF/BM25 Selection,0.7327219592692598,0.14997918455703188,0.053669361924902986,0.7181340604211189,0.12874350921212638,0.046070273096865774,0.898754198042749,0.07620863180200632,0.027270908653515433,0.9534596590138893,0.034364919924746454,0.012297328662033015,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7284853668261041,0.03142579821210143,0.011245577464670668,0.37866666666666665,0.1053714466183895,0.03770668791016434,0.27688888888888896,0.13248851127328934,0.04741040487330994,2.972521422327392,0.6546475058413438,0.23426260136034868,10.0
