method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
TeleMin-RAG,0.865557034486306,0.9143812288529919,0.9143812288529919,0.9193857604445805,0.8735663590873115,0.7586206896551724,0.8936297504682275,0.8488163064671976,0.845687300353967,0.8333252905933723,1.663777777777778,122.87111111111112,0.0,0.0,0.10088888888888885,0.16549796977252348,0.09956594387596687,19.799400355524593,89.09730159986066,0.9498523365213062,1.0,1.0
Embedding Similarity Selection,0.8604903088136334,0.9481986871402889,0.9481986871402889,0.9423825738121896,0.8770631447871835,0.6875,0.881737216878401,0.826102431935994,0.7234071484071484,0.732421384650137,3.0,206.66688888888888,0.26229629629629625,0.7868888888888889,0.09088888888888884,0.2008810866735759,0.09586257107504231,17.43418457772997,78.45383059978485,0.936903213477401,2.0,2.0
Full Context,0.8323705793446481,0.9632316099529684,0.9632316099529684,0.9460548887617539,0.8522776162452627,0.6486486486486487,0.8600446901357574,0.7618589371801029,0.0,0.0,11.0,784.66,0.09219761719761717,1.0,0.11799999999999994,0.2310879337352048,0.10902080926635808,2.9704779111909576,13.36715060035931,0.885836452359056,3.0,3.0
Mutual Information Feature Selection,0.7595746541764511,0.9301966949878163,0.9301966949878163,0.9181560585293994,0.7920116301765768,0.2950819672131147,0.8651474333160689,0.6631215358388924,0.7234071484071484,0.7218070528275745,3.0,216.00422222222218,0.00014814814814814668,0.00044444444444444333,0.1762222222222222,0.22246708005370858,0.12685555885327704,3.7092147555797257,16.691466400108766,0.7664838503851062,4.0,5.0
TF-IDF/BM25 Selection,0.7553544682883426,0.9357501345879585,0.9357501345879585,0.9377434178086974,0.7901442840742235,0.4375,0.8733178224584188,0.6372903129743127,0.7234071484071484,0.7182678995412283,3.0,216.94844444444442,0.16355555555555557,0.49066666666666664,0.18155555555555553,0.24163864212211583,0.14094477236089498,2.693384155618131,12.120228700281586,0.7297346928983073,5.0,6.0
Random-k Selection,0.7518439911063005,0.915809440846101,0.915809440846101,0.8619460605923742,0.7939392059607961,0.3636363636363636,0.841977281977282,0.6981960858696334,0.7234071484071484,0.7238329456599308,3.0,213.70977777777776,0.0921481481481481,0.27644444444444444,0.15688888888888883,0.2043772886650138,0.12554059541711707,1.5505491777374927,6.977471299818715,0.8292338769877545,6.0,4.0
