dataset,method,noise_level,poison_rate,poison_strategy,seed,downstream_model,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,instruction,1,random_forest,0.12866039999062195,1.7154719998749595,0.9466666666666667,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.9007936507936508,0.966501240694789,0.966501240694789,0.9096736596736595,0.05913593233414318,0.11499485287405711,0.05333333333333334,9.0,675.0,0.0,0.0,1.0,75.0,532.0533333333333,39904.0,50.333333333333336,3775.0,9.0,675.0,0.0,0.0,1.0,75.0,532.0533333333333,39904.0,50.333333333333336,3775.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.09460204490777867,2.6999623514711857e-06,8.0,,,,,,,,,,1.0,0.0
BGL,Full Context,0.1,0.1,instruction,1,random_forest,0.13553530001081526,1.807137333477537,0.9333333333333333,0.9,0.6923076923076923,0.782608695652174,0.8716193084560082,0.967741935483871,0.967741935483871,0.9113459004763351,0.059582698986819185,0.1381659798131192,0.06666666666666667,10.0,750.0,1.0,75.0,1.0,75.0,589.8,44235.0,50.333333333333336,3775.0,10.0,750.0,1.0,75.0,1.0,75.0,589.8,44235.0,50.333333333333336,3775.0,0.1,0.1,1.0,1.0,0.0,0.0,0.08533966316265401,2.6999623514711857e-06,8.0,,,,,,,,,,0.9391304347826087,0.050724637681159424
BGL,Full Context,0.2,0.1,instruction,1,random_forest,0.13517839997075498,1.8023786662767332,0.9066666666666666,0.8,0.6153846153846154,0.6956521739130435,0.8202670318384115,0.9516129032258065,0.9516129032258065,0.8462620712620712,0.07621042310266732,0.1209033798025139,0.09333333333333334,11.0,825.0,2.0,150.0,1.0,75.0,647.92,48594.0,50.81333333333333,3811.0,11.0,825.0,2.0,150.0,1.0,75.0,647.92,48594.0,50.81333333333333,3811.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.07842531999835371,2.6999623514711857e-06,8.0,,,,,,,,,,0.8347826086956521,0.1376811594202899
BGL,Full Context,0.3,0.1,instruction,1,random_forest,0.14124039997113869,1.8832053329485159,0.92,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.8401988636363636,0.9652605459057072,0.9652605459057072,0.9000513823094467,0.06642087938708673,0.1349181415599914,0.08,11.0,825.0,2.0,150.0,1.0,75.0,646.96,48522.0,50.17333333333333,3763.0,11.0,825.0,2.0,150.0,1.0,75.0,646.96,48522.0,50.17333333333333,3763.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.07755245043485429,2.6999623514711857e-06,8.0,,,,,,,,,,0.8727272727272727,0.10606060606060608
BGL,Full Context,0.4,0.1,instruction,1,random_forest,0.133619699976407,1.7815959996854265,0.9466666666666667,1.0,0.6923076923076923,0.8181818181818182,0.8934659090909092,0.9764267990074442,0.9764267990074442,0.9328950252027173,0.0718165020365232,0.16309240720939058,0.05333333333333334,12.0,900.0,3.0,225.0,1.0,75.0,710.16,53262.0,50.14666666666667,3761.0,12.0,900.0,3.0,225.0,1.0,75.0,710.16,53262.0,50.14666666666667,3761.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.07061319514851114,2.6999623514711857e-06,8.0,,,,,,,,,,0.9818181818181818,0.015151515151515138
BGL,Full Context,0.5,0.1,instruction,1,random_forest,0.1382663000258617,1.8435506670114894,0.92,1.0,0.5384615384615384,0.7,0.8269230769230769,0.9776674937965261,0.9776674937965261,0.9039395245277597,0.07615616075044258,0.15414781792849686,0.08,13.0,975.0,4.0,300.0,1.0,75.0,770.24,57768.0,50.06666666666667,3755.0,13.0,975.0,4.0,300.0,1.0,75.0,770.24,57768.0,50.06666666666667,3755.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.0650013848497438,2.6999623514711857e-06,8.0,,,,,,,,,,0.8399999999999999,0.13333333333333341
BGL,Random-k Selection,0.0,0.1,instruction,1,random_forest,0.09124549996340647,1.216606666178753,0.8933333333333333,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.7869318181818181,0.8784119106699751,0.8784119106699751,0.7614737826276289,0.0937843505377556,0.12353920857373764,0.10666666666666667,3.0,225.0,0.0,0.0,0.28,21.0,176.34666666666666,13226.0,14.173333333333334,1063.0,9.0,675.0,0.0,0.0,1.0,75.0,532.0533333333333,39904.0,50.333333333333336,3775.0,0.0,0.09333333333333334,0.28,0.0,0.6666666666666667,0.6685545308740979,0.08037199455617723,2.00001522898674e-06,3.0,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.1,0.1,instruction,1,random_forest,0.0961507000029087,1.282009333372116,0.88,0.75,0.46153846153846156,0.5714285714285714,0.7508305647840532,0.9119106699751861,0.9119106699751861,0.7140024386452106,0.094061000658627,0.0972009074199287,0.12,3.0,225.0,0.29333333333333333,22.0,0.26666666666666666,20.0,173.26666666666668,12995.0,13.413333333333334,1006.0,10.0,750.0,1.0,75.0,1.0,75.0,589.8,44235.0,50.333333333333336,3775.0,0.09777777777777778,0.08888888888888889,0.26666666666666666,0.29333333333333333,0.7,0.7062280999208772,0.07741439015005772,2.00001522898674e-06,3.0,,,,,,,,,,0.8979591836734694,0.06493506493506496
BGL,Random-k Selection,0.2,0.1,instruction,1,random_forest,0.09461909998208284,1.2615879997611046,0.88,0.7,0.5384615384615384,0.6086956521739131,0.7689147552208149,0.8982630272952853,0.8982630272952853,0.7155157473582593,0.09722836512566871,0.10284705556273137,0.12,3.0,225.0,0.4666666666666667,35.0,0.24,18.0,179.32,13449.0,11.76,882.0,11.0,825.0,2.0,150.0,1.0,75.0,647.92,48594.0,50.81333333333333,3811.0,0.15555555555555556,0.08,0.24,0.23333333333333334,0.7272727272727273,0.7232374367205827,0.06558108409547178,2.00001522898674e-06,3.0,,,,,,,,,,0.9565217391304348,0.02766798418972327
BGL,Random-k Selection,0.3,0.1,instruction,1,random_forest,0.1167583999922499,1.556778666563332,0.8666666666666667,0.7142857142857143,0.38461538461538464,0.5,0.7115384615384616,0.8573200992555832,0.8573200992555832,0.6841591854600904,0.10286423999625326,0.1096272234198717,0.13333333333333333,3.0,225.0,0.5466666666666666,41.0,0.29333333333333333,22.0,173.33333333333334,13000.0,14.72,1104.0,11.0,825.0,2.0,150.0,1.0,75.0,646.96,48522.0,50.17333333333333,3763.0,0.18222222222222223,0.09777777777777778,0.29333333333333333,0.2733333333333333,0.7272727272727273,0.7320802934751247,0.08492307692307692,2.00001522898674e-06,3.0,,,,,,,,,,0.7857142857142857,0.13636363636363635
BGL,Random-k Selection,0.4,0.1,instruction,1,random_forest,0.09356389997992665,1.2475186663990219,0.84,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.6803977272727273,0.8486352357320099,0.8486352357320099,0.626491622121534,0.10936961202967282,0.10929970047968995,0.16,3.0,225.0,0.6266666666666667,47.0,0.24,18.0,180.42666666666668,13532.0,11.946666666666667,896.0,12.0,900.0,3.0,225.0,1.0,75.0,710.16,53262.0,50.14666666666667,3761.0,0.2088888888888889,0.08,0.24,0.2088888888888889,0.75,0.7459351883143704,0.06621342004138339,2.00001522898674e-06,3.0,,,,,,,,,,0.7142857142857143,0.18181818181818182
BGL,Random-k Selection,0.5,0.1,instruction,1,random_forest,0.11207219999050722,1.4942959998734295,0.8666666666666667,0.8,0.3076923076923077,0.4444444444444444,0.6843434343434343,0.8548387096774194,0.8548387096774194,0.7129288516583596,0.10060273983622414,0.11479299406110402,0.13333333333333333,3.0,225.0,0.8533333333333334,64.0,0.29333333333333333,22.0,173.94666666666666,13046.0,14.72,1104.0,13.0,975.0,4.0,300.0,1.0,75.0,770.24,57768.0,50.06666666666667,3755.0,0.28444444444444444,0.09777777777777778,0.29333333333333333,0.21333333333333335,0.7692307692307692,0.7741656280293588,0.08462363942971025,2.00001522898674e-06,3.0,,,,,,,,,,0.6984126984126984,0.19191919191919193
BGL,TF-IDF/BM25 Selection,0.0,0.1,instruction,1,random_forest,0.1294620999833569,1.7261613331114252,0.9333333333333333,0.9,0.6923076923076923,0.782608695652174,0.8716193084560082,0.9665012406947889,0.9665012406947889,0.9100438023514947,0.05978691762125974,0.11652816831444515,0.06666666666666667,3.0,225.0,0.0,0.0,0.6666666666666666,50.0,177.37333333333333,13303.0,32.666666666666664,2450.0,9.0,675.0,0.0,0.0,1.0,75.0,532.0533333333333,39904.0,50.333333333333336,3775.0,0.0,0.2222222222222222,0.6666666666666666,0.0,0.6666666666666667,0.6666248997594226,0.1841689844396001,0.037962300004437566,3.0,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.1,0.1,instruction,1,random_forest,0.13009890000103042,1.7346520000137389,0.9466666666666667,1.0,0.6923076923076923,0.8181818181818182,0.8934659090909092,0.9640198511166254,0.9640198511166254,0.9037603422218806,0.0634694393233752,0.13355315332130963,0.05333333333333334,3.0,225.0,0.4,30.0,0.5866666666666667,44.0,185.42666666666668,13907.0,28.746666666666666,2156.0,10.0,750.0,1.0,75.0,1.0,75.0,589.8,44235.0,50.333333333333336,3775.0,0.13333333333333333,0.19555555555555557,0.5866666666666667,0.4,0.7,0.6856109415621114,0.15502984108722226,0.037962300004437566,3.0,,,,,,,,,,1.0454545454545454,-0.035573122529644285
