dataset,method,mean_f1,mean_auroc,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,robustness_retention,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_latency_per_context_ms,total_eval_seconds,rank_in_dataset
Apache,TF-IDF/BM25 Selection,0.6071428571428571,0.7833627278071723,0.5412208373310899,0.6865501519756839,0.6071428571428571,0.6071428571428571,0.6071428571428571,1.0,0.7234071484071484,0.7445335432869838,3.0,130.98444444444445,0.0,0.0,0.2933333333333334,0.6365051108878106,0.28642729989951476,1.0
Apache,Full Context,0.550397956572445,0.8089359200470311,0.6843159129728074,0.694387117396955,0.5098039215686274,0.5098039215686274,0.5625,1.1033653846153846,0.0,0.0,11.0,520.3266666666667,0.0921976171976172,1.0,0.2355555555555556,0.9007004445366974,0.4053152000415139,2.0
Apache,Embedding Similarity Selection,0.5333333333333333,0.6654174015285127,0.4053081597932879,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.7234071484071484,0.7384684245817912,3.0,134.08888888888887,0.3333333333333333,1.0,0.46666666666666673,5.23920466644793,2.357642099901568,3.0
Apache,TeleMin-RAG,0.5116777630180321,0.8563345091122869,0.7243478507466347,0.6936650748786226,0.37037037037037035,0.6285714285714286,0.6451612903225806,1.0263929618768328,0.7109131485798152,0.7125661144872798,3.1333333333333333,147.3733333333333,0.0,0.0,0.1977777777777778,9.295049999814687,4.182772499916609,4.0
Apache,Random-k Selection,0.44424793815037705,0.6761463844797179,0.44892001979340224,0.5964230288721396,0.2857142857142857,0.4727272727272727,0.5777777777777777,1.222222222222222,0.7234071484071484,0.7237743672687859,3.0,141.69777777777776,0.08592592592592592,0.25777777777777783,0.3444444444444444,0.3840122221865588,0.17280549998395145,5.0
Apache,Mutual Information Feature Selection,0.4066829309055409,0.6132422104644327,0.5158879100717008,0.6221192962369632,0.25,0.425531914893617,0.25,0.5875,0.7234071484071484,0.7222596633235279,3.0,142.51333333333335,0.0,0.0,0.2511111111111111,1.0246884442555406,0.46110979991499335,6.0
Apache,SHAP-based Selection,0.17888888888888888,0.666005291005291,0.48854077272627433,0.5106402116402117,0.16666666666666666,0.24,0.16666666666666666,0.6944444444444444,0.7234071484071484,0.7272746591800442,3.0,139.8111111111111,0.0,0.0,0.2644444444444444,1.1931484442255975,0.536916799901519,7.0
BGL,TeleMin-RAG,0.9727777777777779,0.9929693961952027,0.989051689051689,0.9837328042328042,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.8890865924199258,0.8852117537608768,1.2,71.29333333333334,0.0,0.0,0.008888888888888889,8.791048666591651,3.9559718999662437,1.0
BGL,Mutual Information Feature Selection,0.8639709673043007,0.9909015715467328,0.9674291938997821,0.9170791766409047,0.8148148148148148,0.8571428571428571,0.88,1.0266666666666668,0.7234071484071484,0.7329053520829336,3.0,166.14666666666665,0.003703703703703704,0.011111111111111112,0.04888888888888889,1.5093362221442577,0.679201299964916,2.0
BGL,Full Context,0.7870187921912059,0.978701406120761,0.9258948027772383,0.868871941619175,0.7333333333333333,0.7333333333333333,0.8148148148148148,1.1111111111111112,0.0,0.0,11.0,633.6644444444445,0.0921976171976172,1.0,0.08,1.492643333428229,0.671689500042703,3.0
BGL,TF-IDF/BM25 Selection,0.7754256272401435,0.9820099255583127,0.9344079846426118,0.8564250978201032,0.6666666666666666,0.8387096774193549,0.6666666666666666,0.7948717948717948,0.7234071484071484,0.7005135154279083,3.0,187.9177777777778,0.20666666666666667,0.6200000000000001,0.09777777777777778,0.9425300000131959,0.4241385000059381,4.0
BGL,Embedding Similarity Selection,0.7075047132518396,0.9499586435070307,0.8859729211474635,0.8177145846092343,0.6206896551724138,0.75,0.6428571428571429,0.8571428571428572,0.7234071484071484,0.7263080707533226,3.0,171.17999999999998,0.33037037037037037,0.9911111111111112,0.11555555555555556,6.293487999872823,2.83206959994277,5.0
BGL,SHAP-based Selection,0.6850950981385764,0.83767576509512,0.7613386851143075,0.8119895407352837,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.9545454545454546,0.7234071484071484,0.7416852182093275,3.0,160.47555555555553,0.00814814814814815,0.024444444444444446,0.10222222222222223,2.3623815555280694,1.0630716999876313,6.0
BGL,Random-k Selection,0.6410887962612101,0.8858560794044665,0.736944705359352,0.7804246777791651,0.42857142857142855,0.7142857142857143,0.46153846153846156,0.6461538461538462,0.7234071484071484,0.721051747880308,3.0,174.08888888888887,0.10444444444444445,0.31333333333333335,0.1311111111111111,0.5682326664423777,0.25570469989906996,7.0
HPC,SHAP-based Selection,0.6514983351831298,0.793563579277865,0.6527686931148425,0.7315848005534865,0.6274509803921569,0.6792452830188679,0.6666666666666666,0.9814814814814815,0.7234071484071484,0.7575025786624804,3.0,104.68,0.0,0.0,0.24444444444444446,1.2120691109966073,0.5454310999484733,1.0
HPC,TeleMin-RAG,0.6083225631051717,0.7962454212454214,0.6749516219747451,0.7090476135923834,0.5217391304347826,0.6545454545454545,0.5217391304347826,0.7971014492753623,0.5417820081153415,0.5660955788641296,4.955555555555557,187.02444444444447,0.0,0.0,0.25555555555555554,7.7391984444370285,3.482639299996663,2.0
HPC,Mutual Information Feature Selection,0.5900600878958259,0.7618393511250655,0.6130529905942642,0.6899444901579453,0.5714285714285714,0.5769230769230769,0.6,1.04,0.7234071484071484,0.7289776183293218,3.0,117.34444444444443,0.0,0.0,0.2777777777777778,1.058605333479742,0.476372400065884,3.0
HPC,Full Context,0.576282501335635,0.804683411826269,0.7013004175736941,0.6939902573181516,0.4878048780487805,0.5882352941176471,0.4878048780487805,0.8292682926829268,0.0,0.0,11.0,437.9288888888889,0.0921976171976172,1.0,0.26000000000000006,1.521996666625556,0.6848984999815002,4.0
HPC,TF-IDF/BM25 Selection,0.5486306509370865,0.7089874411302982,0.5273619760411008,0.6331387632312543,0.49122807017543857,0.5806451612903226,0.5283018867924528,0.9098532494758909,0.7234071484071484,0.7187632321918113,3.0,121.67555555555555,0.0,0.0,0.3466666666666667,0.7536866664627774,0.3391589999082498,5.0
HPC,Random-k Selection,0.5366059497610975,0.771193092621664,0.6369521013095492,0.661957407309033,0.4782608695652174,0.5882352941176471,0.5581395348837209,0.9488372093023255,0.7234071484071484,0.7198933425521257,3.0,120.82666666666667,0.11037037037037038,0.33111111111111113,0.29111111111111115,0.3857451112061325,0.17358530004275963,6.0
HPC,Embedding Similarity Selection,0.5077664535358877,0.6928309785452642,0.5099430820602354,0.5942877151765719,0.45901639344262296,0.5483870967741935,0.4727272727272727,0.8620320855614974,0.7234071484071484,0.6787813394768217,3.0,139.05777777777777,0.3325925925925926,0.9977777777777778,0.38666666666666666,5.259187777733637,2.3666344999801368,7.0
