method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.7272727272727273,0.8472222222222222,0.8472222222222222,0.7568953950532898,0.7386363636363636,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6402824228911186,0.6328096150770341,3.8260869565217392,169.69565217391306,0.0,0.0,0.2608695652173913,0.20369565217391297,0.23393695652173913,632.3405499974995,29.087665299884975,1.0,1.0,4.0
TeleMin-RAG,0.7184210526315788,0.8174603174603174,0.8174603174603174,0.7717402480560376,0.7552219223271854,0.7,0.7,0.7368421052631579,0.6402824228911186,0.6328096150770341,3.8260869565217392,169.69565217391306,0.0,0.0,0.2391304347826087,0.16885742081663624,0.1964978293471345,20.79616087164892,0.9566234000958502,1.0526315789473684,2.0,2.0
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.696969696969697,0.759920634920635,0.759920634920635,0.657181904035451,0.7159848484848486,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.717948717948718,0.6933169521990878,3.0,142.02173913043478,0.0,0.0,0.28260869565217395,0.2182608695652174,0.2442130434782609,499.96159347685295,22.998233299935237,0.9166666666666666,3.0,5.0
Random-k Selection,0.6648351648351649,0.8650793650793651,0.8650793650793651,0.8664997312056137,0.7632887945387946,0.6153846153846154,0.7142857142857143,0.6153846153846154,0.717948717948718,0.7337128734436356,3.0,123.8913043478261,0.07971014492753624,0.2391304347826087,0.19565217391304346,0.2585629641518758,0.17999675226502565,0.831310867595122,0.03824029990937561,0.8615384615384616,4.0,6.0
Full Context,0.5827067669172932,0.8214285714285714,0.8214285714285714,0.7122604247604247,0.6825570871623503,0.42857142857142855,0.7368421052631579,0.42857142857142855,0.0,0.0,11.0,476.7608695652174,0.09401709401709402,1.0,0.2826086956521739,0.2054001051856824,0.1954678069429005,1.709702171628242,0.07864629989489913,0.5816326530612245,5.0,9.0
Mutual Information Feature Selection,0.5634920634920635,0.7777777777777778,0.7777777777777778,0.7538165266106444,0.6634424603174602,0.5555555555555556,0.5555555555555556,0.5714285714285714,0.717948717948718,0.6857693888192908,3.0,146.30434782608694,0.0,0.0,0.30434782608695654,0.1428143627167731,0.19160102666016787,2.13113695676641,0.09803230001125485,1.0285714285714285,6.0,3.0
Embedding Similarity Selection,0.5222222222222221,0.6904761904761905,0.6904761904761905,0.6009142092475426,0.5949023199023199,0.4444444444444444,0.6,0.4444444444444444,0.717948717948718,0.6751745673752017,3.0,151.26086956521738,0.3333333333333333,1.0,0.3913043478260869,0.1238689398441368,0.22559861653106394,13.139447827479277,0.6044146000640467,0.7407407407407407,7.0,7.0
TF-IDF/BM25 Selection,0.5046439628482973,0.6507936507936508,0.6507936507936508,0.6341370049703383,0.5901253019860898,0.42105263157894735,0.5882352941176471,0.42105263157894735,0.717948717948718,0.6933169521990878,3.0,142.02173913043478,0.0,0.0,0.391304347826087,0.13449613128499127,0.23210841544375685,2.1053152184164072,0.09684450004715472,0.7157894736842104,8.0,8.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.46889400921658986,0.1130952380952381,0.8869047619047619,0.29067605770504323,0.26778033794162825,0.35714285714285715,0.35714285714285715,0.5806451612903226,0.0,0.0,11.0,476.7608695652174,0.09401709401709402,1.0,0.6739130434782609,0.6326086956521739,0.5944217391304346,526.2423717421884,24.20714910014067,1.6258064516129034,9.0,1.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.40625,0.12896825396825395,0.871031746031746,0.2744012210483696,0.24857954545454547,0.25,0.5625,0.25,0.0,0.0,11.0,476.7608695652174,0.09401709401709402,1.0,0.6956521739130435,0.6347826086956521,0.6055826086956522,477.15757826201457,21.94924860005267,0.4444444444444444,10.0,10.0
