method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Mutual Information Feature Selection,0.8965942028985507,0.9011579818031431,0.9011579818031431,0.8785277377557206,0.9383603435440134,0.8695652173913043,0.88,0.8695652173913043,0.7234071484071484,0.7308963807255272,3.0,168.67555555555555,0.0007407407407407407,0.0022222222222222222,0.03333333333333333,0.16501288414936577,0.0639712257315321,1.0391700000036508,0.46762650000164285,0.9881422924901185,1.0,4.0
TeleMin-RAG,0.8905555555555557,0.8798593879239042,0.8798593879239042,0.8751924000629829,0.934664021164021,0.8333333333333334,0.88,0.9166666666666666,0.7801446948113616,0.7810820398408556,2.3866666666666667,137.54222222222222,0.21221860809593338,0.5066666666666666,0.035555555555555556,0.2007635565505411,0.07822978261809911,8.168528666719794,3.6758379000239074,1.0416666666666665,2.0,3.0
Embedding Similarity Selection,0.8665101565101564,0.9896608767576511,0.9896608767576511,0.9655606129753812,0.9199084472838108,0.8181818181818182,0.88,0.8181818181818182,0.7234071484071484,0.7138446309432432,3.0,180.41111111111113,0.27925925925925926,0.8377777777777777,0.044444444444444446,0.2259043225198014,0.07901498160121144,5.818493777834292,2.618322200025432,0.9297520661157025,3.0,6.0
Full Context,0.8506315289648624,0.9702233250620346,0.9702233250620346,0.9247680223686414,0.9098958018649862,0.8,0.8148148148148148,0.9166666666666666,0.0,0.0,11.0,637.6666666666666,0.0921976171976172,1.0,0.051111111111111114,0.2053954067309045,0.08026536976568949,0.9829702223133708,0.44233660004101694,1.125,4.0,1.0
TF-IDF/BM25 Selection,0.821850613154961,0.9530603804797354,0.9530603804797354,0.9003204466212984,0.8928815338232683,0.7692307692307693,0.8,0.8695652173913043,0.7234071484071484,0.694508274960541,3.0,193.04444444444445,0.16444444444444445,0.49333333333333323,0.06,0.22782414576030963,0.09332340708960414,0.8815666664546976,0.39670499990461394,1.0869565217391304,5.0,2.0
Random-k Selection,0.6721885521885521,0.9059139784946236,0.9059139784946236,0.7833818414704644,0.8049856895024576,0.5454545454545454,0.7407407407407407,0.72,0.7234071484071484,0.7238868638478094,3.0,173.4311111111111,0.09037037037037036,0.27111111111111114,0.10444444444444445,0.185573473296778,0.10513161076649946,0.4410262222194837,0.19846179999876767,0.972,6.0,5.0
