"dataset","method","noise_level","poison_rate","poison_strategy","seed","eval_seconds","latency_per_context_ms","accuracy","precision","recall","f1","f1_macro","auroc","auroc_oriented","auprc","brier","ece","attack_success_rate","avg_selected_logs","sum_selected_logs","avg_selected_noise","sum_selected_noise","avg_selected_poison","sum_selected_poison","avg_selected_tokens","sum_selected_tokens","avg_selected_poison_tokens","sum_selected_poison_tokens","avg_total_logs","sum_total_logs","avg_total_noise","sum_total_noise","avg_total_poison","sum_total_poison","avg_total_tokens","sum_total_tokens","avg_total_poison_tokens","sum_total_poison_tokens","noise_selected_rate","poison_selected_rate","poison_event_selection_rate","noise_event_selection_rate","context_reduction","token_reduction","poison_token_selected_rate","selector_fit_seconds","train_avg_selected_logs","telemin_stop_threshold","telemin_min_k","telemin_max_k","telemin_use_poison_penalty","telemin_use_stability","telemin_use_rarity","telemin_use_semantic","telemin_use_redundancy","telemin_adaptive_k","relative_f1","f1_drop_from_noise0"
"BGL","Full Context","0.0","0.1","instruction","1","0.1797620999859646","2.3968279998128614","0.8666666666666667","0.5789473684210527","0.8461538461538461","0.6875","0.8013771186440678","0.9652605459057072","0.9652605459057072","0.9101675916057188","0.0945409844401038","0.21615081872976236","0.13333333333333333","9.0","675.0","0.0","0.0","1.0","75.0","532.0533333333333","39904.0","50.333333333333336","3775.0","9.0","675.0","0.0","0.0","1.0","75.0","532.0533333333333","39904.0","50.333333333333336","3775.0","0.0","0.1111111111111111","1.0","0.0","0.0","0.0","0.09460204490777867","1.6999547369778156e-06","8.0","","","","","","","","","","1.0","0.0"
"BGL","Full Context","0.1","0.1","instruction","1","0.12523799994960427","1.669839999328057","0.88","0.6111111111111112","0.8461538461538461","0.7096774193548387","0.8170235836269992","0.9640198511166254","0.9640198511166254","0.9132107023411371","0.09141774015369934","0.21629229741393372","0.12","10.0","750.0","1.0","75.0","1.0","75.0","589.8","44235.0","50.333333333333336","3775.0","10.0","750.0","1.0","75.0","1.0","75.0","589.8","44235.0","50.333333333333336","3775.0","0.1","0.1","1.0","1.0","0.0","0.0","0.08533966316265401","1.6999547369778156e-06","8.0","","","","","","","","","","1.032258064516129","-0.022177419354838745"
"BGL","Full Context","0.2","0.1","instruction","1","0.13567690004128963","1.8090253338838618","0.92","0.7333333333333333","0.8461538461538461","0.7857142857142857","0.8682669789227166","0.9466501240694789","0.9466501240694789","0.8570431077218406","0.1036664547946247","0.20304432061480088","0.08","11.0","825.0","2.0","150.0","1.0","75.0","647.92","48594.0","50.81333333333333","3811.0","11.0","825.0","2.0","150.0","1.0","75.0","647.92","48594.0","50.81333333333333","3811.0","0.18181818181818182","0.09090909090909091","1.0","1.0","0.0","0.0","0.07842531999835371","1.6999547369778156e-06","8.0","","","","","","","","","","1.1428571428571428","-0.0982142857142857"
"BGL","Full Context","0.3","0.1","instruction","1","0.15211620001355186","2.0282160001806915","0.9066666666666666","0.6875","0.8461538461538461","0.7586206896551724","0.8503847249928754","0.9540942928039702","0.9540942928039702","0.8918585185553509","0.08981460539984062","0.19280819312609446","0.09333333333333334","11.0","825.0","2.0","150.0","1.0","75.0","646.96","48522.0","50.17333333333333","3763.0","11.0","825.0","2.0","150.0","1.0","75.0","646.96","48522.0","50.17333333333333","3763.0","0.18181818181818182","0.09090909090909091","1.0","1.0","0.0","0.0","0.07755245043485429","1.6999547369778156e-06","8.0","","","","","","","","","","1.103448275862069","-0.07112068965517238"
"BGL","Full Context","0.4","0.1","instruction","1","0.1744567999849096","2.3260906664654613","0.9066666666666666","0.6875","0.8461538461538461","0.7586206896551724","0.8503847249928754","0.9553349875930521","0.9553349875930521","0.9092340848806364","0.09935190499338212","0.22331202809064707","0.09333333333333334","12.0","900.0","3.0","225.0","1.0","75.0","710.16","53262.0","50.14666666666667","3761.0","12.0","900.0","3.0","225.0","1.0","75.0","710.16","53262.0","50.14666666666667","3761.0","0.25","0.08333333333333333","1.0","1.0","0.0","0.0","0.07061319514851114","1.6999547369778156e-06","8.0","","","","","","","","","","1.103448275862069","-0.07112068965517238"
"BGL","Full Context","0.5","0.1","instruction","1","0.2844786000205204","3.7930480002736053","0.92","0.7333333333333333","0.8461538461538461","0.7857142857142857","0.8682669789227166","0.9789081885856079","0.9789081885856079","0.9234167039596903","0.08924513052046561","0.19105974125713954","0.08","13.0","975.0","4.0","300.0","1.0","75.0","770.24","57768.0","50.06666666666667","3755.0","13.0","975.0","4.0","300.0","1.0","75.0","770.24","57768.0","50.06666666666667","3755.0","0.3076923076923077","0.07692307692307693","1.0","1.0","0.0","0.0","0.0650013848497438","1.6999547369778156e-06","8.0","","","","","","","","","","1.1428571428571428","-0.0982142857142857"
"BGL","Random-k Selection","0.0","0.1","instruction","1","0.06384450005134568","0.851260000684609","0.8666666666666667","0.5882352941176471","0.7692307692307693","0.6666666666666666","0.7916666666666666","0.9156327543424317","0.9156327543424317","0.7711541863154766","0.11670208004207726","0.18523322261951783","0.13333333333333333","3.0","225.0","0.0","0.0","0.28","21.0","176.34666666666666","13226.0","14.173333333333334","1063.0","9.0","675.0","0.0","0.0","1.0","75.0","532.0533333333333","39904.0","50.333333333333336","3775.0","0.0","0.09333333333333334","0.28","0.0","0.6666666666666667","0.6685545308740979","0.08037199455617723","1.9000144675374031e-06","3.0","","","","","","","","","","1.0","0.0"
"BGL","Random-k Selection","0.1","0.1","instruction","1","0.09734680003020912","1.2979573337361217","0.88","0.625","0.7692307692307693","0.6896551724137931","0.8076375035622685","0.9230769230769231","0.9230769230769231","0.7517339254797448","0.11352388182727448","0.18733357931747013","0.12","3.0","225.0","0.29333333333333333","22.0","0.26666666666666666","20.0","173.26666666666668","12995.0","13.413333333333334","1006.0","10.0","750.0","1.0","75.0","1.0","75.0","589.8","44235.0","50.333333333333336","3775.0","0.09777777777777778","0.08888888888888889","0.26666666666666666","0.29333333333333333","0.7","0.7062280999208772","0.07741439015005772","1.9000144675374031e-06","3.0","","","","","","","","","","1.0344827586206897","-0.02298850574712652"
"BGL","Random-k Selection","0.2","0.1","instruction","1","0.12572779995389283","1.6763706660519044","0.88","0.625","0.7692307692307693","0.6896551724137931","0.8076375035622685","0.9069478908188586","0.9069478908188586","0.7876112434702082","0.11485172541432895","0.19444570876766373","0.12","3.0","225.0","0.4666666666666667","35.0","0.24","18.0","179.32","13449.0","11.76","882.0","11.0","825.0","2.0","150.0","1.0","75.0","647.92","48594.0","50.81333333333333","3811.0","0.15555555555555556","0.08","0.24","0.23333333333333334","0.7272727272727273","0.7232374367205827","0.06558108409547178","1.9000144675374031e-06","3.0","","","","","","","","","","1.0344827586206897","-0.02298850574712652"
"BGL","Random-k Selection","0.3","0.1","instruction","1","0.08792429999448359","1.1723239999264479","0.8666666666666667","0.6","0.6923076923076923","0.6428571428571429","0.7804449648711944","0.879652605459057","0.879652605459057","0.7007326007326007","0.11525929931640559","0.16142740925685112","0.13333333333333333","3.0","225.0","0.5466666666666666","41.0","0.29333333333333333","22.0","173.33333333333334","13000.0","14.72","1104.0","11.0","825.0","2.0","150.0","1.0","75.0","646.96","48522.0","50.17333333333333","3763.0","0.18222222222222223","0.09777777777777778","0.29333333333333333","0.2733333333333333","0.7272727272727273","0.7320802934751247","0.08492307692307692","1.9000144675374031e-06","3.0","","","","","","","","","","0.9642857142857144","0.023809523809523725"
"BGL","Random-k Selection","0.4","0.1","instruction","1","0.14904250000836328","1.9872333334448438","0.84","0.5333333333333333","0.6153846153846154","0.5714285714285714","0.7365339578454333","0.8722084367245657","0.8722084367245657","0.6967603581797437","0.12323361325759952","0.1756042639254509","0.16","3.0","225.0","0.6266666666666667","47.0","0.24","18.0","180.42666666666668","13532.0","11.946666666666667","896.0","12.0","900.0","3.0","225.0","1.0","75.0","710.16","53262.0","50.14666666666667","3761.0","0.2088888888888889","0.08","0.24","0.2088888888888889","0.75","0.7459351883143704","0.06621342004138339","1.9000144675374031e-06","3.0","","","","","","","","","","0.8571428571428571","0.09523809523809523"
"BGL","Random-k Selection","0.5","0.1","instruction","1","0.11267989996122196","1.5023986661496262","0.84","0.5333333333333333","0.6153846153846154","0.5714285714285714","0.7365339578454333","0.8982630272952853","0.8982630272952853","0.7271094099246764","0.11802111170065577","0.16955998087785285","0.16","3.0","225.0","0.8533333333333334","64.0","0.29333333333333333","22.0","173.94666666666666","13046.0","14.72","1104.0","13.0","975.0","4.0","300.0","1.0","75.0","770.24","57768.0","50.06666666666667","3755.0","0.28444444444444444","0.09777777777777778","0.29333333333333333","0.21333333333333335","0.7692307692307692","0.7741656280293588","0.08462363942971025","1.9000144675374031e-06","3.0","","","","","","","","","","0.8571428571428571","0.09523809523809523"
"BGL","TF-IDF/BM25 Selection","0.0","0.1","instruction","1","0.14739190001273528","1.965225333503137","0.88","0.6111111111111112","0.8461538461538461","0.7096774193548387","0.8170235836269992","0.9813895781637717","0.9813895781637717","0.9423558897243108","0.08613383113841798","0.21010964428476933","0.12","3.0","225.0","0.0","0.0","0.6666666666666666","50.0","177.37333333333333","13303.0","32.666666666666664","2450.0","9.0","675.0","0.0","0.0","1.0","75.0","532.0533333333333","39904.0","50.333333333333336","3775.0","0.0","0.2222222222222222","0.6666666666666666","0.0","0.6666666666666667","0.6666248997594226","0.1841689844396001","0.09979979996569455","3.0","","","","","","","","","","1.0","0.0"
"BGL","TF-IDF/BM25 Selection","0.1","0.1","instruction","1","0.20584040001267567","2.7445386668356755","0.8933333333333333","0.6470588235294118","0.8461538461538461","0.7333333333333333","0.8333333333333333","0.9776674937965261","0.9776674937965261","0.9240631163708087","0.09643186215169544","0.22146879855101406","0.10666666666666667","3.0","225.0","0.4","30.0","0.5866666666666667","44.0","185.42666666666668","13907.0","28.746666666666666","2156.0","10.0","750.0","1.0","75.0","1.0","75.0","589.8","44235.0","50.333333333333336","3775.0","0.13333333333333333","0.19555555555555557","0.5866666666666667","0.4","0.7","0.6856109415621114","0.15502984108722226","0.09979979996569455","3.0","","","","","","","","","","1.0333333333333332","-0.023655913978494536"
"BGL","TF-IDF/BM25 Selection","0.2","0.1","instruction","1","0.21069859998533502","2.8093146664711335","0.88","0.6111111111111112","0.8461538461538461","0.7096774193548387","0.8170235836269992","0.9454094292803971","0.9454094292803971","0.8893606393606394","0.12264960377269533","0.26050857110614667","0.12","3.0","225.0","0.7333333333333333","55.0","0.6533333333333333","49.0","187.85333333333332","14089.0","32.013333333333335","2401.0","11.0","825.0","2.0","150.0","1.0","75.0","647.92","48594.0","50.81333333333333","3811.0","0.24444444444444444","0.21777777777777776","0.6533333333333333","0.36666666666666664","0.7272727272727273","0.7100670864715808","0.17041663709276741","0.09979979996569455","3.0","","","","","","","","","","1.0","0.0"
"BGL","TF-IDF/BM25 Selection","0.3","0.1","instruction","1","0.20367509999778122","2.715667999970416","0.92","0.7058823529411765","0.9230769230769231","0.8","0.875","0.9751861042183623","0.9751861042183623","0.9072661878091742","0.10219953473084409","0.22472006897931415","0.08","3.0","225.0","0.72","54.0","0.6133333333333333","46.0","186.37333333333333","13978.0","30.053333333333335","2254.0","11.0","825.0","2.0","150.0","1.0","75.0","646.96","48522.0","50.17333333333333","3763.0","0.24","0.20444444444444446","0.6133333333333333","0.36","0.7272727272727273","0.7119244878611763","0.16125339819716697","0.09979979996569455","3.0","","","","","","","","","","1.1272727272727272","-0.0903225806451613"
"BGL","TF-IDF/BM25 Selection","0.4","0.1","instruction","1","0.15305930003523827","2.0407906671365104","0.8666666666666667","0.5789473684210527","0.8461538461538461","0.6875","0.8013771186440678","0.9342431761786602","0.9342431761786602","0.8808230231307154","0.11778765142549223","0.24080049990827396","0.13333333333333333","3.0","225.0","0.9866666666666667","74.0","0.52","39.0","191.12","14334.0","25.48","1911.0","12.0","900.0","3.0","225.0","1.0","75.0","710.16","53262.0","50.14666666666667","3761.0","0.3288888888888889","0.17333333333333334","0.52","0.3288888888888889","0.75","0.730877548721415","0.13331938049393052","0.09979979996569455","3.0","","","","","","","","","","0.96875","0.022177419354838745"
