dataset,method,mean_f1,mean_auroc,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,robustness_retention,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_latency_per_context_ms,total_eval_seconds,rank_in_dataset
Apache,TF-IDF/BM25 Selection,0.5555031518189414,0.7320399764844209,0.4757075583100267,0.6420028813636803,0.5,0.5520779220779221,0.5572157666894509,1.0093063757959944,0.7234071484071484,0.7447159190888909,3.0,130.61111111111111,0.0,0.0,0.33688888888888885,0.9783550222507781,2.20129880006425,1.0
Apache,Full Context,0.5290052166910618,0.7814814814814816,0.6239725156405729,0.6786521534055739,0.2941176470588235,0.5315002924246622,0.48122716983073516,0.9054128035102575,0.0,0.0,11.0,519.2448888888889,0.09219761719761718,1.0,0.2493333333333333,1.0873354222211575,2.446504699997603,2.0
Apache,Embedding Similarity Selection,0.5226313995812869,0.6695179306290417,0.4412674538190936,0.5194194893704122,0.4675324675324675,0.5226313995812868,0.5226313995812868,1.0,0.7234071484071484,0.7381821653769745,3.0,133.9511111111111,0.3333333333333334,1.0,0.48000000000000004,7.387197244524335,16.621193800179753,3.0
Apache,Random-k Selection,0.46671003734670374,0.6843327454438567,0.48618173544506776,0.6251693909814668,0.2941176470588235,0.5290368387792276,0.47887372173749887,0.9051802948968884,0.7234071484071484,0.7233266975227617,3.0,141.6471111111111,0.09288888888888881,0.2786666666666667,0.3044444444444444,0.5527388001533431,1.243662300345021,4.0
Apache,TeleMin-RAG,0.46376148161436875,0.6608612580834802,0.5138531327854504,0.6693438502216952,0.1666666666666666,0.6186506430529201,0.34711086392287727,0.5610773508776342,0.8939174997841666,0.8930125898571663,1.1560000000000001,54.999555555555546,0.0,0.0,0.2022222222222222,8.378677822209687,18.852025099971797,5.0
Apache,Mutual Information Feature Selection,0.39494957424117866,0.6604203409758964,0.5358455550251511,0.617425283767765,0.1538461538461538,0.5066986140474513,0.20089855072463764,0.39648529748262523,0.7234071484071484,0.7213780729300414,3.0,142.65644444444442,0.0,0.0,0.2493333333333333,1.312525022154053,2.9531812998466185,6.0
BGL,TeleMin-RAG,0.8546877381045298,0.922746071133168,0.8880620827540913,0.9131074437843038,0.7586206896551724,0.853328002665334,0.8584321475625825,1.0059814571668875,0.8170480013813347,0.7970768188372827,1.9773333333333334,128.11555555555557,0.0,0.0,0.04755555555555553,19.70896235550754,44.34516529989196,1.0
BGL,Embedding Similarity Selection,0.8022491296245466,0.9629032258064517,0.9227317133199047,0.8787354278743444,0.6875,0.8126447728516695,0.8070152810152809,0.9930726289955277,0.7234071484071484,0.7302391258149162,3.0,171.9204444444444,0.3269629629629629,0.980888888888889,0.07288888888888885,15.29688137769699,34.41798309981823,2.0
BGL,Full Context,0.7982315742147963,0.9715880893300248,0.9167978251401947,0.8754927622175823,0.6666666666666666,0.7627543978906605,0.8166699226699226,1.070685301754223,0.0,0.0,11.0,644.641777777778,0.09219761719761718,1.0,0.0764444444444444,2.43622813337586,5.481513300095685,3.0
BGL,Mutual Information Feature Selection,0.7926070591632809,0.928701406120761,0.8760707865705971,0.8748166898651046,0.6666666666666666,0.7911999214068179,0.7887957839262187,0.9969614032868905,0.7234071484071484,0.7306062564307856,3.0,170.62622222222222,0.00029629629629629337,0.0008888888888888867,0.0711111111111111,3.052882444449804,6.868985500012059,4.0
BGL,TF-IDF/BM25 Selection,0.7779869773074262,0.9727460711331677,0.9220271766035056,0.8621545077273279,0.64,0.7926403823178017,0.7289408602150538,0.9196362896418667,0.7234071484071484,0.7080504322563524,3.0,186.25955555555552,0.20088888888888887,0.6026666666666666,0.0862222222222222,2.414246888908868,5.432055500044951,5.0
BGL,Random-k Selection,0.6588325492228542,0.9087262200165426,0.7694687376387361,0.7917593838218292,0.3636363636363636,0.7343386243386243,0.6317605153467223,0.8603122516069639,0.7234071484071484,0.7242764319544029,3.0,175.33511111111108,0.09274074074074072,0.2782222222222222,0.12311111111111109,1.3257801777476241,2.9830053999321526,6.0
HPC,TeleMin-RAG,0.7188094630512836,0.8154369440083725,0.6639956852087551,0.7721624465168823,0.6428571428571429,0.7347085876918,0.72820006405466,0.9911413535295843,0.8761593369593369,0.8846901216055728,1.3253333333333333,50.17333333333333,0.0,0.0,0.2151111111111111,6.855813377821404,15.42558010009816,1.0
HPC,Mutual Information Feature Selection,0.6973956758751981,0.8178048142333857,0.7208964635111125,0.7600607095733979,0.6122448979591837,0.7037418209462875,0.6842991330322866,0.9723724136674765,0.7234071484071484,0.7454743025934387,3.0,112.33244444444445,0.0,0.0,0.223111111111111,0.9112838221610422,2.0503885998623437,2.0
HPC,Full Context,0.671262828384264,0.8597331240188383,0.7771640382020196,0.7534077080260028,0.5714285714285714,0.7071861471861473,0.6212244897959185,0.8784455016090669,0.0,0.0,11.0,447.2733333333333,0.09219761719761718,1.0,0.21822222222222223,1.0339274221720793,2.3263366998871775,3.0
HPC,Random-k Selection,0.6398305546886663,0.7951203558346415,0.6770524978396169,0.7220718524861705,0.5416666666666666,0.632539916906173,0.6231809643936781,0.9852041708952209,0.7234071484071484,0.7233953247263271,3.0,122.05822222222221,0.08785185185185179,0.2635555555555555,0.2524444444444444,0.4662208889818026,1.0489970002090543,4.0
HPC,Embedding Similarity Selection,0.5979077261623991,0.7573260073260074,0.6062825257878068,0.6761605023537626,0.5333333333333333,0.6095173620166302,0.5626553838318544,0.9231162537688349,0.7234071484071484,0.6793631543484635,3.0,141.82844444444444,0.3322962962962963,0.996888888888889,0.3044444444444444,5.618178755536468,12.640902199957054,5.0
HPC,TF-IDF/BM25 Selection,0.5942423241969144,0.7765829408686552,0.6305282702555985,0.668062155104553,0.392156862745098,0.6594656392608493,0.579209212677007,0.8783008214441674,0.7234071484071484,0.7149127347791213,3.0,126.02088888888893,0.0,0.0,0.3142222222222222,0.8314152888488024,1.8706843999098042,6.0
UNSW_NB15,Embedding Similarity Selection,0.9187314880027203,0.9334941484741263,0.9620334343044747,0.8753908617000228,0.8085106382978723,0.9508296609051327,0.8451895828567071,0.8888969471694198,0.7234071484071484,0.7346036434853579,3.0,241.4133333333333,0.19762962962962963,0.5928888888888888,0.10888888888888885,19.571487777762943,44.03584749996662,1.0
UNSW_NB15,TeleMin-RAG,0.8764263308680825,0.9060163865728158,0.9507094381350698,0.8340252743903189,0.8,0.933931498271121,0.8392004653718127,0.8985674719455625,0.8743265993265992,0.8695737623494623,1.3502222222222222,117.62666666666665,0.0,0.0,0.1542222222222222,19.88983835554164,44.7521362999687,2.0
UNSW_NB15,Full Context,0.8665095844745001,0.9548751305759122,0.975311952383313,0.8290624702729436,0.6486486486486487,0.957334982380854,0.7070479516902832,0.7385585659179434,0.0,0.0,11.0,924.6782222222224,0.09219761719761718,1.0,0.1595555555555555,3.504727689006055,7.885637300263625,3.0
UNSW_NB15,Random-k Selection,0.8448554329897472,0.9228926616756594,0.9544233835460123,0.7961190280997628,0.6987951807228916,0.9496159396159397,0.7646316563925446,0.8052009496615972,0.7234071484071484,0.7233894593654586,3.0,252.08444444444442,0.09155555555555549,0.27466666666666667,0.19066666666666662,1.775318177727362,3.9944658998865625,4.0
UNSW_NB15,TF-IDF/BM25 Selection,0.7327219592692598,0.898754198042749,0.9534596590138893,0.7181340604211189,0.4375,0.9539952625990361,0.5456397657335715,0.5719522801895754,0.7234071484071484,0.7284853668261041,3.0,247.6373333333333,0.12622222222222218,0.37866666666666665,0.27688888888888896,2.972521422327392,6.6881732002366325,5.0
UNSW_NB15,Mutual Information Feature Selection,0.7265422491896211,0.9316919838548716,0.9602413304882019,0.709206570488049,0.2950819672131147,0.9390949452253198,0.537447287751566,0.5723034614169015,0.7234071484071484,0.7130078492243632,3.0,261.38222222222225,0.0,0.0,0.2813333333333334,4.365547066709648,9.822480900096707,6.0
