dataset,method,f1_mean,f1_std,f1_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,auroc_mean,auroc_std,auroc_ci95,auprc_mean,auprc_std,auprc_ci95,context_reduction_mean,context_reduction_std,context_reduction_ci95,token_reduction_mean,token_reduction_std,token_reduction_ci95,poison_event_selection_rate_mean,poison_event_selection_rate_std,poison_event_selection_rate_ci95,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_ci95,latency_per_context_ms_mean,latency_per_context_ms_std,latency_per_context_ms_ci95,rank_f1
UNSW_NB15,TF-IDF/BM25 Selection,0.7327219592692598,0.14997918455703188,0.053669361924902986,0.7181340604211189,0.12874350921212638,0.046070273096865774,0.898754198042749,0.07620863180200632,0.027270908653515433,0.9534596590138893,0.034364919924746454,0.012297328662033015,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7284853668261041,0.03142579821210143,0.011245577464670668,0.37866666666666665,0.1053714466183895,0.03770668791016434,0.27688888888888896,0.13248851127328934,0.04741040487330994,2.972521422327392,0.6546475058413438,0.23426260136034868,10.0
UNSW_NB15,Mutual Information Feature Selection,0.7265422491896211,0.18755268181114823,0.06711486523838911,0.709206570488049,0.14710950433605235,0.05264246004619648,0.9316919838548716,0.040453964814279146,0.014476265391943305,0.9602413304882019,0.027956631444937874,0.01000415208051047,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7130078492243632,0.03639698817556159,0.013024494946682539,0.0,0.0,0.0,0.2813333333333334,0.14894160443800467,0.05329806864778172,4.365547066709648,1.3595514622905043,0.4865092426039537,11.0
HPC,TeleMin-RAG,0.7188094630512836,0.03239184795848295,0.011591273926677331,0.7721624465168823,0.026298584987760273,0.009410827775798509,0.8154369440083725,0.02994619511125183,0.010716108294937255,0.6639956852087551,0.06012054723778523,0.021513861529237385,0.8761593369593369,0.03194595387360483,0.011431712777627365,0.8846901216055728,0.03185457416034912,0.01139901296719834,0.0,0.0,0.0,0.2151111111111111,0.025427130249909242,0.009098981702858212,6.855813377821404,0.9271773636598335,0.3317861584979788,12.0
HPC,Mutual Information Feature Selection,0.6973956758751981,0.02968151423802947,0.010621393460865275,0.7600607095733979,0.02575558092997644,0.009216516269238681,0.8178048142333857,0.024107305734051655,0.008626688565459636,0.7208964635111125,0.040198027596729455,0.014384679434870018,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7454743025934387,0.03241823198473505,0.011600715329216908,0.0,0.0,0.0,0.223111111111111,0.02665133658970748,0.009537058315392455,0.9112838221610422,0.1330071937475518,0.047596013012982885,13.0
HPC,Full Context,0.671262828384264,0.06288463177549394,0.022502976477978196,0.7534077080260028,0.04145530646115128,0.014834590898347315,0.8597331240188383,0.02407708455257548,0.008615874054557783,0.7771640382020196,0.06281836540790091,0.022479263362879566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21822222222222223,0.034393857302995254,0.012307683769850006,1.0339274221720793,0.52631437475398,0.1883391801894285,14.0
BGL,Random-k Selection,0.6588325492228542,0.10896730572511214,0.038993449565787756,0.7917593838218292,0.06493525812347024,0.023236783692408218,0.9087262200165426,0.041336687023168804,0.014792143477612145,0.7694687376387361,0.08862358124624611,0.03171354125596772,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7242764319544029,0.03271755987133129,0.011707828437795258,0.2782222222222222,0.06377482738446466,0.022821528885520064,0.12311111111111109,0.03700402104414472,0.013241718868925636,1.3257801777476241,0.4424825148895151,0.15834033440831394,15.0
HPC,Random-k Selection,0.6398305546886663,0.06190157607002929,0.02215119451166899,0.7220718524861705,0.041980081890556305,0.015022379374016247,0.7951203558346415,0.052421788963561325,0.01875889626247703,0.6770524978396169,0.07783260029673499,0.02785203831597929,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7233953247263271,0.03415018916718523,0.012220488247291463,0.2635555555555555,0.061119400343423856,0.02187129652259773,0.2524444444444444,0.03654560299597913,0.013077676077170418,0.4662208889818026,0.17006497621664543,0.06085697016075171,16.0
HPC,Embedding Similarity Selection,0.5979077261623991,0.03924375168015947,0.014043196183751676,0.6761605023537626,0.036256318136546145,0.012974156819707063,0.7573260073260074,0.02546223734826654,0.009111544616661457,0.6062825257878068,0.04979210481853116,0.017817875876583848,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.6793631543484635,0.032655430066816815,0.01168559557278363,0.996888888888889,0.006720092439916369,0.002404754195669922,0.3044444444444444,0.0378880518103957,0.013558065215832405,5.618178755536468,0.7170978766062251,0.25661017953143994,17.0
HPC,TF-IDF/BM25 Selection,0.5942423241969144,0.06347018433906688,0.022712513771791797,0.668062155104553,0.05076089019125242,0.018164551269903895,0.7765829408686552,0.045430361789940116,0.01625704617934104,0.6305282702555985,0.0720838865526072,0.025794887522370757,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7149127347791213,0.03146452662467485,0.01125943624912345,0.0,0.0,0.0,0.3142222222222222,0.04935548844963618,0.017661634715560256,0.8314152888488024,0.29973903864525653,0.10726023744953421,18.0
Apache,TF-IDF/BM25 Selection,0.5555031518189414,0.03801564542358662,0.013603724003922731,0.6420028813636803,0.03644871467744013,0.013043005037657015,0.7320399764844209,0.052355869097419176,0.018735307141330163,0.4757075583100267,0.08091717162352632,0.028955837989311898,0.7234071484071484,0.03374408312337149,0.012075165065879963,0.7447159190888909,0.03191818551177875,0.011421775996964721,0.0,0.0,0.0,0.33688888888888885,0.03786377410569978,0.013549377550781554,0.9783550222507781,0.5154699401886546,0.18445854911868104,19.0
Apache,Full Context,0.5290052166910618,0.11384346497138599,0.04073836074239319,0.6786521534055739,0.07225273487535933,0.025855309118680683,0.7814814814814816,0.0686624612947754,0.02457054621791626,0.6239725156405729,0.11691762553161467,0.04183843497075676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2493333333333333,0.05787024725401975,0.02070860202189297,1.0873354222211575,0.5228174680812354,0.18708782820754213,20.0
