method,f1_mean,f1_std,f1_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,auroc_mean,auroc_std,auroc_ci95,auprc_mean,auprc_std,auprc_ci95,context_reduction_mean,context_reduction_std,context_reduction_ci95,token_reduction_mean,token_reduction_std,token_reduction_ci95,poison_event_selection_rate_mean,poison_event_selection_rate_std,poison_event_selection_rate_ci95,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_ci95,latency_per_context_ms_mean,latency_per_context_ms_std,latency_per_context_ms_ci95,rank_f1
TeleMin-RAG,0.7284212534095661,0.18254821005636312,0.03266201901015342,0.7971597537283001,0.10223717566848534,0.018292551727554257,0.8262651649494591,0.1142285217894561,0.02043807577755479,0.7541550847208416,0.18520843670298412,0.0331379939500141,0.8653628593628594,0.04009215984902535,0.007173397573948606,0.8610883231623709,0.049803497792787615,0.008910976400031053,0.0,0.0,0.0,0.15477777777777776,0.07391004871018797,0.013224185628926017,13.708322977770068,7.080634656648509,1.2668862854804168,1.0
Full Context,0.7162523009411556,0.15488855572893503,0.027713078918230355,0.7841537734805256,0.0987637563800349,0.017671078162874693,0.8919194563515643,0.08612231933249136,0.015409238087669135,0.8233115828415251,0.15249952035759404,0.0272856262541337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17588888888888884,0.08807595115291585,0.01575878717192388,2.015554666693788,1.186085968317557,0.212217706396042,2.0
Embedding Similarity Selection,0.7103799358427383,0.16602771894477222,0.029706128100145324,0.7374265703246354,0.15881761494954796,0.028416076810765457,0.8308103280589066,0.13053616084840092,0.023355882623152018,0.7330787818078198,0.22326029119788535,0.03994633457685627,0.7234071484071484,0.03331602245533633,0.005960992761544544,0.720597022256428,0.040031180911735006,0.007162487057716312,0.8926666666666667,0.19002854962663537,0.03400042157882938,0.24155555555555555,0.17050643154878947,0.030507471461267623,11.968436288880184,6.761399099930746,1.2097677970602174,3.0
TF-IDF/BM25 Selection,0.6651136031481354,0.12808626361051148,0.022917540389436542,0.7225884011541701,0.11254738114094213,0.02013728155008167,0.8450307966322481,0.10915093018753827,0.019529579367886192,0.745430666045755,0.209518432167381,0.037487604026988926,0.7234071484071484,0.03331602245533633,0.005960992761544544,0.7240411132376173,0.03316655090607354,0.005934248908060628,0.24533333333333335,0.2658328701382475,0.04756353543701282,0.25355555555555553,0.1235997072971715,0.022114793610647592,1.7991346555839602,1.0372788467346954,0.18559273410798194,4.0
Mutual Information Feature Selection,0.6528736396173198,0.19695778093967714,0.03524021836896193,0.7403773134235792,0.12638538527525575,0.022613214641718022,0.8346546362962286,0.12339716336712471,0.02207855390338595,0.7732635338987656,0.17303062451785325,0.030959106887960663,0.7234071484071484,0.03331602245533633,0.005960992761544544,0.7276166202946572,0.03736785568912558,0.006685957712267065,0.00022222222222222166,0.0017140782113237096,0.0003066875052122336,0.2062222222222222,0.11263330795275307,0.0201526558074353,2.4105595888686366,1.6368021511086783,0.2928610637094995,5.0
Random-k Selection,0.6525571435619928,0.1605429287467222,0.02872477461735795,0.7337799138473073,0.09621614717485359,0.01721525303994206,0.8277679957426751,0.11104186592409632,0.01986791069940332,0.7217815886173583,0.18697857783037797,0.033454712383658235,0.7234071484071484,0.03331602245533633,0.005960992761544544,0.7235969783922376,0.03295415321767055,0.005896246139727873,0.27377777777777773,0.06513497203030114,0.011654125198064906,0.21766666666666667,0.09127236305532514,0.01633069782658622,1.030014511152533,0.6200669197620002,0.11094404877802183,6.0
