method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Embedding Similarity Selection,0.9176586442657869,0.9601333333333334,0.9601333333333334,0.9774688220692669,0.8868702137031969,0.8222222222222222,0.96,0.8222222222222222,0.7234071484071484,0.7262330152648041,3.0,249.00444444444443,0.1237037037037037,0.3711111111111111,0.10444444444444445,0.1793711195201022,0.096220520176681,21.730499777735933,9.778724899981171,0.8564814814814815,1.0,2.0
TeleMin-RAG,0.8706693196407759,0.9146,0.9146,0.9622914908218013,0.8373221753512606,0.8275862068965517,0.9166666666666666,0.8275862068965517,0.8784076664076664,0.8737488379118443,1.297777777777778,113.05777777777779,0.0,0.0,0.15555555555555556,0.1589344487165437,0.1283885653861153,22.407255333382636,10.083264900022186,0.9028213166144201,2.0,1.0
Mutual Information Feature Selection,0.8453419277095797,0.9634666666666668,0.9634666666666668,0.9790297198708253,0.8139259628921719,0.7804878048780488,0.9387755102040817,0.7804878048780488,0.7234071484071484,0.7128739724331877,3.0,261.43555555555554,0.0,0.0,0.18000000000000002,0.192544017639523,0.12357294115083807,4.131846666827591,1.859331000072416,0.8313891834570519,3.0,3.0
Full Context,0.8414719664719664,0.9692,0.9692,0.9813463919324666,0.8160095776702003,0.6486486486486487,0.9615384615384616,0.6486486486486487,0.0,0.0,11.0,924.3955555555555,0.0921976171976172,1.0,0.17777777777777778,0.25840686249432115,0.12889139214065412,3.1734600002204796,1.4280570000992157,0.6745945945945946,4.0,5.0
Random-k Selection,0.8280369012040039,0.9282666666666666,0.9282666666666666,0.9532650084233972,0.7857139140110526,0.7160493827160493,0.9423076923076923,0.7160493827160493,0.7234071484071484,0.7252294132133338,3.0,250.35555555555558,0.10888888888888888,0.3266666666666667,0.20444444444444443,0.21761164042413297,0.14025290656998246,1.601063777666746,0.7204786999500357,0.7598891408415218,5.0,4.0
TF-IDF/BM25 Selection,0.7342796080863675,0.9276,0.9276,0.9656285899430203,0.7319244834207378,0.4375,0.9696969696969697,0.4375,0.7234071484071484,0.7284770649201414,3.0,247.49777777777777,0.12814814814814815,0.3844444444444444,0.2644444444444444,0.26208695873175114,0.17796203438420047,2.993820000232922,1.3472190001048148,0.451171875,6.0,6.0
