method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Embedding Similarity Selection,0.9268940674136141,0.9606666666666667,0.9606666666666667,0.9779975362316352,0.8982864160006051,0.8444444444444444,0.9702970297029703,0.8444444444444444,0.7234071484071484,0.7163480535625357,3.0,258.67555555555555,0.02666666666666667,0.08,0.09333333333333332,0.18129331610836422,0.09579693085537395,8.520549555541947,3.8342472999938764,0.8702947845804989,1.0,2.0
TeleMin-RAG,0.8644660369738429,0.9203333333333333,0.9203333333333333,0.9615672723352793,0.830768878829825,0.813953488372093,0.9052631578947369,0.813953488372093,0.8671482344815679,0.8623749504158736,1.4177777777777776,123.50666666666666,0.0,0.0,0.1622222222222222,0.1606149106597028,0.12978159193368843,8.647407555771577,3.89133340009721,0.8991346673877771,2.0,1.0
Mutual Information Feature Selection,0.8453419277095797,0.9634666666666668,0.9634666666666668,0.9790297198708253,0.8139259628921719,0.7804878048780488,0.9387755102040817,0.7804878048780488,0.7234071484071484,0.7135197866741501,3.0,261.43555555555554,0.0,0.0,0.18000000000000002,0.192544017639523,0.12357294115083807,1.572861777773748,0.7077877999981865,0.8313891834570519,3.0,3.0
Full Context,0.8414719664719664,0.9693333333333335,0.9693333333333335,0.9813396252537419,0.8160095776702003,0.6486486486486487,0.9615384615384616,0.6486486486486487,0.0,0.0,11.0,926.4533333333333,0.0921976171976172,1.0,0.17777777777777778,0.2585921523007111,0.1289021540617094,1.2919508889576214,0.5813779000309296,0.6745945945945946,4.0,5.0
Random-k Selection,0.8295616709326571,0.9290666666666665,0.9290666666666665,0.9547368763271464,0.7884806158658201,0.7160493827160493,0.9514563106796117,0.7160493827160493,0.7234071484071484,0.7252002688671149,3.0,250.93333333333337,0.10888888888888888,0.3266666666666667,0.20222222222222222,0.21762928558270223,0.14032176601754795,0.7077455555554479,0.31848549999995157,0.7525825144872763,5.0,4.0
TF-IDF/BM25 Selection,0.7186049364751934,0.9170666666666666,0.9170666666666666,0.9621836421392338,0.7192750327138379,0.46153846153846156,0.9696969696969697,0.46153846153846156,0.7234071484071484,0.7291776727231357,3.0,247.58666666666667,0.13555555555555557,0.4066666666666667,0.27777777777777773,0.2563122040638786,0.17924711326883816,1.0971771109487034,0.4937296999269165,0.4759615384615385,6.0,6.0
