method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
without bootstrap robustness,0.8728495387165051,0.8993333333333333,0.8993333333333333,0.9335410846834308,0.8195059588723105,0.8541666666666666,0.9038461538461539,0.8723404255319149,0.8399903306569972,0.8340856738482563,1.7266666666666666,150.31777777777776,0.0,0.0,0.16444444444444445,0.12373923024260257,0.1205007628143903,8.74031755555835,3.9331429000012577,0.965142598460842,1.0,2.0
without poisoning penalty,0.864712762151436,0.8993333333333333,0.8993333333333333,0.9382862733194303,0.81821089394636,0.8222222222222222,0.9056603773584906,0.8409090909090909,0.8544169904169906,0.8490377973907887,1.5666666666666667,136.38444444444445,0.0,0.0,0.1688888888888889,0.12759327824317615,0.12414678237394305,10.15661044447269,4.57047470001271,0.9285037878787878,2.0,4.0
without redundancy penalty,0.8634178277019241,0.8638,0.8638,0.915138457429073,0.8119722464120206,0.8260869565217391,0.8846153846153846,0.8571428571428571,0.8690816714150048,0.8642140691852024,1.4044444444444444,122.27111111111111,0.0,0.0,0.17333333333333334,0.1189034207940559,0.1334540832071622,8.498943777651423,3.82452469994314,0.9689440993788819,3.0,1.0
without rarity,0.8607084404956745,0.8206666666666665,0.8206666666666665,0.847967822781276,0.7980381667361316,0.8367346938775511,0.8846153846153846,0.851063829787234,0.8627107830441164,0.8576545311444761,1.4844444444444445,129.23111111111112,0.0,0.0,0.18222222222222226,0.10762272354605917,0.13690511887508863,9.264138666783564,4.168862400052603,0.9620721554116559,4.0,3.0
Full TeleMin-RAG,0.8579810906579975,0.8725999999999999,0.8725999999999999,0.9190252830681249,0.8121262315631569,0.8181818181818182,0.9056603773584906,0.8409090909090909,0.8683845290511957,0.8635023861421941,1.4155555555555557,123.24222222222222,0.0,0.0,0.17555555555555558,0.11918516962281438,0.13283915948569344,8.380730444203234,3.7713286998914555,0.9285037878787878,5.0,4.0
adaptive-k TeleMin,0.8579810906579975,0.8725999999999999,0.8725999999999999,0.9190252830681249,0.8121262315631569,0.8181818181818182,0.9056603773584906,0.8409090909090909,0.8683845290511957,0.8635023861421941,1.4155555555555557,123.24222222222222,0.0,0.0,0.17555555555555558,0.11918516962281438,0.13283915948569344,8.434069555433881,3.7953312999452464,0.9285037878787878,5.0,4.0
without semantic similarity,0.8555170548920416,0.8705999999999999,0.8705999999999999,0.9166358977518265,0.8102239713932144,0.8181818181818182,0.9158878504672897,0.8409090909090909,0.8691252697919366,0.8642637399581022,1.4088888888888889,122.6711111111111,0.0,0.0,0.17777777777777778,0.12415401800570053,0.13523790241287134,8.699134666627893,3.9146105999825522,0.9181354359925789,7.0,7.0
fixed-k TeleMin,0.7425934452174157,0.9173333333333334,0.9173333333333334,0.9530266838966579,0.7180530208771881,0.6301369863013698,0.9158878504672897,0.6301369863013698,0.7234071484071484,0.7132044339508724,3.0,261.2088888888889,0.0,0.0,0.27555555555555555,0.20817981692888643,0.17135775634003347,7.580737555528888,3.4113318999879993,0.6880067095331283,8.0,8.0
