method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Embedding Similarity Selection,0.7782648917706391,0.9377584780810588,0.9377584780810588,0.8893497405576798,0.8647047078295428,0.7142857142857143,0.7586206896551724,0.75,0.7234071484071484,0.7238488048995126,3.0,179.1,0.2955555555555555,0.8866666666666667,0.08,0.2233831982796675,0.093790118960343,5.79127400014032,2.6060733000631444,0.9886363636363636,1.0,3.0
TF-IDF/BM25 Selection,0.7709433040078202,0.9708436724565757,0.9708436724565757,0.9206058261608225,0.8552744231775686,0.7272727272727273,0.7741935483870968,0.8,0.7234071484071484,0.7039244448235001,3.0,192.20000000000002,0.18074074074074076,0.5422222222222223,0.09555555555555556,0.2273453848680015,0.10143377468171398,1.1429902221748813,0.5143455999786966,1.0333333333333334,2.0,2.0
Full Context,0.7476412283489592,0.9615384615384617,0.9615384615384617,0.9031260966082156,0.8426173516837085,0.6875,0.6875,0.7857142857142857,0.0,0.0,11.0,655.9311111111111,0.0921976171976172,1.0,0.09999999999999999,0.2061786009871174,0.09367289371465982,0.980993777823945,0.4414472000207752,1.1428571428571428,3.0,1.0
TeleMin-RAG,0.7235221674876847,0.8767576509511992,0.8767576509511992,0.832681442098267,0.8303801034060813,0.6428571428571429,0.7586206896551724,0.75,0.7481680048346715,0.7311883367976414,2.733333333333333,173.70222222222222,0.2073162450311353,0.5666666666666667,0.10222222222222221,0.19387937602885175,0.09517417228352949,8.017597111304188,3.607918700086884,0.9886363636363636,4.0,3.0
Mutual Information Feature Selection,0.7232600732600734,0.9416873449131513,0.9416873449131513,0.8677722728273743,0.8310936132065745,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.7234071484071484,0.7318722659896028,3.0,172.9711111111111,0.0,0.0,0.10000000000000002,0.18141474798297974,0.08632649307906226,1.1096633331746693,0.4993484999286011,0.9090909090909091,5.0,5.0
Random-k Selection,0.6339019643617345,0.8988833746898263,0.8988833746898263,0.7341847176054608,0.7745087992744155,0.5185185185185185,0.6666666666666666,0.5185185185185185,0.7234071484071484,0.7253712994532252,3.0,177.6488888888889,0.08962962962962963,0.2688888888888889,0.13777777777777778,0.1804488222193347,0.11681929602015546,0.6597508888484703,0.29688789998181164,0.7777777777777778,6.0,6.0
