method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
TeleMin-RAG,0.7098660924624992,0.8392203035060177,0.8392203035060177,0.6638182328681554,0.7587591194440456,0.6557377049180327,0.71875,0.7368421052631579,0.8649077959077959,0.8788210100657028,1.4444444444444444,53.344444444444456,0.0,0.0,0.23111111111111113,0.12170191961586357,0.16374463243198079,7.905177777736551,3.557329999981448,1.0251716247139588,1.0,1.0
Full Context,0.6862742952365594,0.8580586080586081,0.8580586080586081,0.7723171537744133,0.7574596163458663,0.5777777777777777,0.7619047619047619,0.5777777777777777,0.0,0.0,11.0,452.5688888888889,0.0921976171976172,1.0,0.22,0.145695436605056,0.16530525233285775,1.1524328888238717,0.5185947999707423,0.7583333333333333,2.0,6.0
Mutual Information Feature Selection,0.6499953432128062,0.8072344322344321,0.8072344322344321,0.6674510686158018,0.7166526469340156,0.6122448979591837,0.6666666666666666,0.6122448979591837,0.7234071484071484,0.7476167788063789,3.0,112.70222222222223,0.0,0.0,0.26666666666666666,0.12464080526216537,0.1785077220545196,1.028071777869223,0.4626323000411503,0.9183673469387755,3.0,4.0
Random-k Selection,0.6354353056718786,0.8001046572475143,0.8001046572475143,0.6868566016855014,0.7213184155798275,0.5416666666666666,0.6666666666666666,0.6086956521739131,0.7234071484071484,0.7240312286298312,3.0,123.27333333333333,0.09481481481481481,0.28444444444444444,0.2511111111111111,0.1052571461904578,0.17593569973064563,0.5729744446256922,0.2578385000815615,0.9130434782608696,4.0,5.0
TF-IDF/BM25 Selection,0.5723838114404259,0.728806907378336,0.728806907378336,0.5886245334005156,0.6220690396089599,0.5151515151515151,0.6176470588235294,0.6031746031746031,0.7234071484071484,0.7135329643998366,3.0,128.12444444444444,0.0,0.0,0.3711111111111111,0.13542618384538527,0.2054662869760405,0.762602889056628,0.3431713000754826,0.9765684051398336,5.0,2.0
Embedding Similarity Selection,0.5587132427267232,0.7278911564625851,0.7278911564625851,0.5527396209567692,0.6288799184990183,0.5333333333333333,0.5806451612903226,0.5333333333333333,0.7234071484071484,0.674445833737217,3.0,145.6622222222222,0.3333333333333333,1.0,0.35777777777777775,0.12779752733605546,0.20785559996783834,6.200352444494556,2.7901586000225507,0.9185185185185184,6.0,3.0
