method,mean_f1,mean_auroc,mean_auroc_oriented,mean_auprc,mean_f1_macro,min_f1,f1_noise0,f1_noise50,mean_context_reduction,mean_token_reduction,mean_selected_logs,mean_selected_tokens,mean_poison_selected_rate,mean_poison_event_selection_rate,mean_attack_success_rate,mean_ece,mean_brier,mean_latency_per_context_ms,total_eval_seconds,robustness_retention,rank_mean_f1,rank_robustness
Full TeleMin-RAG,0.8695652173913043,0.9363110008271298,0.9363110008271298,0.9002398312556128,0.922971585073605,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8114188897522231,0.793200584081757,2.042222222222222,131.32888888888888,0.0,0.0,0.04,0.18119739937688661,0.07246835995922045,7.4454344445580825,3.350445500051137,1.0,1.0,5.0
adaptive-k TeleMin,0.8695652173913043,0.9363110008271298,0.9363110008271298,0.9002398312556128,0.922971585073605,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8114188897522231,0.793200584081757,2.042222222222222,131.32888888888888,0.0,0.0,0.04,0.18119739937688661,0.07246835995922045,7.6984611110916985,3.464307499991264,1.0,1.0,5.0
without poisoning penalty,0.8635265700483092,0.9294871794871796,0.9294871794871796,0.8969168468958211,0.9192752626936126,0.8333333333333334,0.8695652173913043,0.8695652173913043,0.7705691099024432,0.7656810231203249,2.486666666666667,148.9088888888889,0.20470098982913912,0.508888888888889,0.042222222222222223,0.18629257316826722,0.07584506783421813,8.009857777635462,3.6044359999359585,1.0,3.0,5.0
without rarity,0.8549626701800616,0.9284532671629447,0.9284532671629447,0.9042865337742158,0.9143576500298299,0.8181818181818182,0.8333333333333334,0.8695652173913043,0.8276309246309248,0.8161344244893861,1.8533333333333335,115.74888888888889,0.0,0.0,0.044444444444444446,0.18827279811538453,0.07528204046937874,7.3925004445482045,3.326625200046692,1.0434782608695652,4.0,3.0
without redundancy penalty,0.8519323671497584,0.9303143093465674,0.9303143093465674,0.8858850718438657,0.9121133318480118,0.8,0.8,0.8695652173913043,0.8108305274971941,0.7889082241417803,2.048888888888889,134.03555555555553,0.0,0.0,0.04666666666666667,0.18511208629181855,0.07662724492455099,7.526682444408329,3.387007099983748,1.0869565217391304,5.0,2.0
without semantic similarity,0.8489240228370664,0.9330024813895782,0.9330024813895782,0.8931620190825885,0.9106613276498376,0.8181818181818182,0.8333333333333334,0.8695652173913043,0.8172634895968228,0.7999394671099568,1.9799999999999998,127.01333333333332,0.0,0.0,0.04666666666666667,0.18863913562447673,0.07726313568542466,7.70602733349531,3.4677123000728898,1.0434782608695652,6.0,3.0
without bootstrap robustness,0.8438735177865614,0.9396195202646815,0.9396195202646815,0.9017512333556427,0.908218747082257,0.8181818181818182,0.8695652173913043,0.8181818181818182,0.8053300526633859,0.786051432857517,2.1088888888888886,135.99777777777777,0.0,0.0,0.04666666666666667,0.1926954638330832,0.07975996413778906,7.684581777753515,3.458061799989082,0.940909090909091,7.0,8.0
fixed-k TeleMin,0.8282125898792566,0.9700165425971878,0.9700165425971878,0.9208189882658079,0.8959211301593207,0.7407407407407407,0.7857142857142857,0.9166666666666666,0.7234071484071484,0.7310531574845736,3.0,171.20222222222222,0.0,0.0,0.060000000000000005,0.19640926620798807,0.07679810026114255,6.165056444523443,2.774275400035549,1.1666666666666667,8.0,1.0
