dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,instruction,4,0.1959284000331536,2.6123786671087146,0.88,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.8170235836269992,0.9714640198511166,0.9714640198511166,0.9046171220084263,0.09457585582091359,0.1961494542887056,0.12,9.0,675.0,0.0,0.0,1.0,75.0,527.5866666666667,39569.0,49.82666666666667,3737.0,9.0,675.0,0.0,0.0,1.0,75.0,527.5866666666667,39569.0,49.82666666666667,3737.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.09444261922211833,2.300017513334751e-06,8.0,,,,,,,,,,1.0,0.0
BGL,Full Context,0.1,0.1,instruction,4,0.20362220000242814,2.714962666699042,0.8933333333333333,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.8243559718969555,0.956575682382134,0.956575682382134,0.843644069605608,0.09813796920107673,0.1737161913706964,0.10666666666666667,10.0,750.0,1.0,75.0,1.0,75.0,588.6533333333333,44149.0,50.17333333333333,3763.0,10.0,750.0,1.0,75.0,1.0,75.0,588.6533333333333,44149.0,50.17333333333333,3763.0,0.1,0.1,1.0,1.0,0.0,0.0,0.08523409363745499,2.300017513334751e-06,8.0,,,,,,,,,,1.0064935064935066,-0.004608294930875556
BGL,Full Context,0.2,0.1,instruction,4,0.17031100002350286,2.270813333646705,0.88,0.625,0.7692307692307693,0.6896551724137931,0.8076375035622685,0.9602977667493796,0.9602977667493796,0.852992329704642,0.1000281630333692,0.19975146944323766,0.12,11.0,825.0,2.0,150.0,1.0,75.0,649.04,48678.0,50.25333333333333,3769.0,11.0,825.0,2.0,150.0,1.0,75.0,649.04,48678.0,50.25333333333333,3769.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.07742717449361107,2.300017513334751e-06,8.0,,,,,,,,,,0.9717868338557993,0.020022246941045596
BGL,Full Context,0.3,0.1,instruction,4,0.17565729998750612,2.3420973331667483,0.8533333333333334,0.55,0.8461538461538461,0.6666666666666666,0.7863247863247863,0.955334987593052,0.955334987593052,0.8667194742709616,0.10119943897943444,0.2342522646967931,0.14666666666666667,11.0,825.0,2.0,150.0,1.0,75.0,647.56,48567.0,49.85333333333333,3739.0,11.0,825.0,2.0,150.0,1.0,75.0,647.56,48567.0,49.85333333333333,3739.0,0.18181818181818182,0.09090909090909091,1.0,1.0,0.0,0.0,0.0769864311157782,2.300017513334751e-06,8.0,,,,,,,,,,0.9393939393939393,0.043010752688172116
BGL,Full Context,0.4,0.1,instruction,4,0.1666675999877043,2.222234666502724,0.92,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8604218362282878,0.9727047146401985,0.9727047146401985,0.9017676767676766,0.09492363573385183,0.19199072178663149,0.08,12.0,900.0,3.0,225.0,1.0,75.0,706.9866666666667,53024.0,50.25333333333333,3769.0,12.0,900.0,3.0,225.0,1.0,75.0,706.9866666666667,53024.0,50.25333333333333,3769.0,0.25,0.08333333333333333,1.0,1.0,0.0,0.0,0.07108101991550995,2.300017513334751e-06,8.0,,,,,,,,,,1.083916083916084,-0.05955334987593053
BGL,Full Context,0.5,0.1,instruction,4,0.1470088000060059,1.960117333413412,0.9066666666666666,0.75,0.6923076923076923,0.72,0.832,0.9466501240694789,0.9466501240694789,0.822090872090872,0.09984207107702009,0.1834647752531101,0.09333333333333334,13.0,975.0,4.0,300.0,1.0,75.0,762.04,57153.0,50.413333333333334,3781.0,13.0,975.0,4.0,300.0,1.0,75.0,762.04,57153.0,50.413333333333334,3781.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.06615575735306983,2.300017513334751e-06,8.0,,,,,,,,,,1.0145454545454544,-0.010322580645161228
BGL,Random-k Selection,0.0,0.1,instruction,4,0.07037259999196976,0.9383013332262635,0.8933333333333333,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.8243559718969555,0.9330024813895781,0.9330024813895781,0.8054157381080458,0.11782560265324622,0.21949143600506743,0.10666666666666667,3.0,225.0,0.0,0.0,0.36,27.0,172.8,12960.0,18.28,1371.0,9.0,675.0,0.0,0.0,1.0,75.0,527.5866666666667,39569.0,49.82666666666667,3737.0,0.0,0.12,0.36,0.0,0.6666666666666667,0.6724708736637266,0.10578703703703704,7.00005330145359e-07,3.0,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.1,0.1,instruction,4,0.07135400001425296,0.9513866668567061,0.8666666666666667,0.6,0.6923076923076923,0.6428571428571429,0.7804449648711944,0.9218362282878412,0.9218362282878412,0.7888670079602573,0.12199603157356985,0.22380433323455837,0.13333333333333333,3.0,225.0,0.30666666666666664,23.0,0.4266666666666667,32.0,175.4,13155.0,21.253333333333334,1594.0,10.0,750.0,1.0,75.0,1.0,75.0,588.6533333333333,44149.0,50.17333333333333,3763.0,0.10222222222222223,0.14222222222222222,0.4266666666666667,0.30666666666666664,0.7,0.7020317560986659,0.12117065754465982,7.00005330145359e-07,3.0,,,,,,,,,,0.9,0.0714285714285714
BGL,Random-k Selection,0.2,0.1,instruction,4,0.10241180000593886,1.3654906667458515,0.84,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.7365339578454333,0.8995037220843672,0.8995037220843672,0.7033709840211386,0.12877737545942466,0.20578523988957606,0.16,3.0,225.0,0.64,48.0,0.30666666666666664,23.0,183.49333333333334,13762.0,15.586666666666666,1169.0,11.0,825.0,2.0,150.0,1.0,75.0,649.04,48678.0,50.25333333333333,3769.0,0.21333333333333335,0.10222222222222223,0.30666666666666664,0.32,0.7272727272727273,0.7172850158182341,0.0849440488301119,7.00005330145359e-07,3.0,,,,,,,,,,0.7999999999999999,0.1428571428571429
BGL,Random-k Selection,0.3,0.1,instruction,4,0.10306839999975637,1.3742453333300848,0.8533333333333334,0.5625,0.6923076923076923,0.6206896551724138,0.7648902821316614,0.9280397022332507,0.9280397022332507,0.8351672836966952,0.12074014675388281,0.22858859372602106,0.14666666666666667,3.0,225.0,0.5333333333333333,40.0,0.2,15.0,177.29333333333332,13297.0,10.04,753.0,11.0,825.0,2.0,150.0,1.0,75.0,647.56,48567.0,49.85333333333333,3739.0,0.17777777777777778,0.06666666666666667,0.2,0.26666666666666666,0.7272727272727273,0.7262132723865999,0.05662931488305633,7.00005330145359e-07,3.0,,,,,,,,,,0.8689655172413793,0.09359605911330049
